방문일,요일,시간대,프로그램,회원등급,운동시간,소모칼로리,나이
2025-01-10,금,오전,웨이트,프리미엄,78,487,51
2025-01-11,토,저녁,필라테스,일반,39,207,45
2025-01-11,토,저녁,필라테스,프리미엄,62,304,36
2025-01-12,일,오전,필라테스,프리미엄,55,316,19
2025-01-12,일,오후,웨이트,일반,62,468,50
2025-01-12,일,오전,웨이트,프리미엄,60,385,35
2025-01-14,화,저녁,웨이트,프리미엄,78,483,32
2025-01-15,수,오전,요가,프리미엄,66,289,46
2025-01-15,수,오전,웨이트,일반,62,461,46
2025-01-15,수,저녁,필라테스,일반,59,331,42
2025-01-16,목,오후,필라테스,일반,50,275,33
2025-01-16,목,저녁,필라테스,프리미엄,53,279,26
2025-01-16,목,저녁,웨이트,일반,65,441,39
2025-01-17,금,오전,스피닝,일반,30,306,40
2025-01-18,토,오전,필라테스,일반,51,274,44
2025-01-19,일,저녁,필라테스,일반,60,276,24
2025-01-19,일,오후,웨이트,일반,75,491,43
2025-01-21,화,오전,필라테스,프리미엄,71,339,32
2025-01-21,화,오후,웨이트,일반,71,485,64
2025-01-22,수,오전,필라테스,일반,31,178,43
2025-01-22,수,오후,스피닝,일반,48,493,34
2025-01-22,수,오후,웨이트,일반,84,528,19
2025-01-22,수,오후,요가,일반,64,273,55
2025-01-22,수,오후,스피닝,프리미엄,48,467,46
2025-01-23,목,오후,스피닝,프리미엄,49,514,34
2025-01-23,목,저녁,스피닝,일반,52,503,35
2025-01-23,목,오전,필라테스,프리미엄,61,299,44
2025-01-24,금,저녁,필라테스,일반,45,246,51
2025-01-24,금,저녁,요가,프리미엄,56,214,46
2025-01-24,금,저녁,스피닝,일반,58,586,43
2025-01-25,토,저녁,필라테스,프리미엄,65,325,32
2025-01-25,토,오전,요가,일반,69,306,44
2025-01-25,토,오전,웨이트,일반,62,445,34
2025-01-25,토,오전,필라테스,프리미엄,53,250,24
2025-01-25,토,저녁,스피닝,일반,40,346,35
2025-01-25,토,저녁,웨이트,일반,67,504,32
2025-01-26,일,오후,웨이트,프리미엄,59,420,27
2025-01-27,월,오전,웨이트,일반,56,408,19
2025-01-27,월,저녁,요가,일반,49,188,30
2025-01-28,화,오전,요가,프리미엄,58,207,33
2025-01-29,수,저녁,스피닝,일반,29,243,33
2025-01-29,수,오전,스피닝,일반,53,472,41
2025-01-29,수,저녁,스피닝,일반,53,475,47
2025-01-29,수,저녁,필라테스,일반,37,180,53
2025-01-29,수,오전,스피닝,일반,42,421,37
2025-01-30,목,오전,스피닝,일반,48,444,48
2025-01-30,목,오후,웨이트,프리미엄,76,495,54
2025-01-30,목,저녁,스피닝,프리미엄,40,379,36
2025-01-31,금,저녁,스피닝,일반,54,512,46
2025-01-31,금,오전,웨이트,일반,84,519,27
2025-01-31,금,오전,필라테스,일반,59,310,33
2025-02-01,토,오전,요가,일반,65,277,37
2025-02-02,일,저녁,요가,일반,67,289,41
2025-02-02,일,오전,필라테스,프리미엄,46,260,35
2025-02-02,일,저녁,요가,프리미엄,67,286,35
2025-02-04,화,저녁,웨이트,일반,51,320,34
2025-02-04,화,저녁,스피닝,프리미엄,53,560,50
2025-02-05,수,오전,웨이트,일반,69,499,36
2025-02-05,수,오후,스피닝,프리미엄,51,447,31
2025-02-06,목,오전,요가,일반,52,198,29
2025-02-06,목,저녁,스피닝,일반,39,346,36
2025-02-06,목,저녁,웨이트,프리미엄,59,367,40
2025-02-07,금,오후,웨이트,프리미엄,79,568,37
2025-02-08,토,오전,요가,프리미엄,56,245,34
2025-02-08,토,저녁,스피닝,프리미엄,49,453,41
2025-02-08,토,저녁,필라테스,일반,54,276,19
2025-02-10,월,오전,스피닝,프리미엄,47,445,42
2025-02-11,화,오전,웨이트,프리미엄,65,413,44
2025-02-11,화,저녁,요가,프리미엄,69,291,42
2025-02-11,화,저녁,필라테스,일반,40,193,43
2025-02-12,수,오전,요가,일반,40,161,30
2025-02-13,목,오후,웨이트,일반,58,363,52
2025-02-13,목,저녁,웨이트,일반,70,435,53
2025-02-14,금,오전,요가,프리미엄,55,205,40
2025-02-14,금,오전,웨이트,일반,65,498,48
2025-02-14,금,오후,웨이트,일반,63,493,29
2025-02-15,토,저녁,요가,프리미엄,59,208,63
2025-02-15,토,오전,스피닝,일반,58,608,44
2025-02-15,토,저녁,요가,일반,57,247,19
2025-02-15,토,저녁,요가,일반,59,236,63
2025-02-16,일,오전,웨이트,프리미엄,67,448,37
2025-02-16,일,저녁,스피닝,일반,37,339,68
2025-02-16,일,저녁,필라테스,일반,59,304,57
2025-02-17,월,저녁,요가,프리미엄,69,281,36
2025-02-18,화,저녁,웨이트,일반,66,480,23
2025-02-19,수,오전,필라테스,일반,42,226,20
2025-02-20,목,저녁,웨이트,일반,55,384,45
2025-02-20,목,오후,필라테스,일반,53,258,33
2025-02-21,금,오후,요가,프리미엄,66,265,26
2025-02-21,금,오후,요가,프리미엄,53,220,36
2025-02-21,금,오후,스피닝,일반,51,517,52
2025-02-22,토,저녁,스피닝,일반,52,503,26
2025-02-24,월,오전,필라테스,프리미엄,58,297,30
2025-02-25,화,저녁,필라테스,프리미엄,45,242,45
2025-02-26,수,저녁,요가,일반,67,249,41
2025-02-26,수,저녁,필라테스,일반,56,267,52
2025-02-26,수,오전,웨이트,일반,55,382,26
2025-02-27,목,오전,스피닝,프리미엄,45,460,49
2025-02-27,목,저녁,요가,프리미엄,76,338,35
2025-02-28,금,오후,웨이트,일반,72,469,24
2025-03-01,토,오후,스피닝,일반,44,383,40
2025-03-03,월,저녁,스피닝,프리미엄,49,448,38
2025-03-04,화,저녁,요가,프리미엄,68,252,41
2025-03-04,화,오전,요가,프리미엄,57,216,24
2025-03-05,수,저녁,필라테스,프리미엄,42,194,23
2025-03-07,금,저녁,필라테스,일반,57,270,42
2025-03-10,월,저녁,웨이트,프리미엄,74,560,51
2025-03-10,월,오전,필라테스,프리미엄,66,337,47
2025-03-11,화,저녁,웨이트,프리미엄,80,521,43
2025-03-12,수,오전,웨이트,일반,59,373,51
2025-03-14,금,저녁,웨이트,일반,77,521,47
2025-03-14,금,저녁,필라테스,프리미엄,57,302,30
2025-03-17,월,오전,요가,일반,54,230,50
2025-03-18,화,저녁,스피닝,일반,43,418,43
2025-03-21,금,오전,요가,프리미엄,70,256,31
2025-03-22,토,오전,요가,프리미엄,75,276,36
2025-03-23,일,오전,요가,일반,53,228,30
2025-03-23,일,오전,요가,프리미엄,58,232,49
2025-03-23,일,저녁,웨이트,일반,53,366,35
2025-03-24,월,오후,요가,프리미엄,58,243,43
2025-03-25,화,오후,웨이트,일반,54,413,27
2025-03-25,화,저녁,웨이트,프리미엄,75,493,64
2025-03-27,목,저녁,웨이트,프리미엄,80,618,47
2025-03-27,목,오전,스피닝,프리미엄,53,550,43
2025-03-27,목,저녁,요가,일반,48,169,51
2025-03-28,금,오전,스피닝,일반,31,286,35
2025-03-28,금,오후,요가,프리미엄,63,221,27
2025-03-28,금,오전,스피닝,일반,57,523,49
2025-03-29,토,저녁,스피닝,일반,43,415,39
2025-03-30,일,오전,웨이트,일반,58,444,29
2025-04-03,목,저녁,웨이트,일반,56,435,51
2025-04-05,토,저녁,웨이트,프리미엄,54,400,37
2025-04-05,토,오전,요가,일반,64,267,30
2025-04-05,토,저녁,요가,일반,55,242,50
2025-04-05,토,오후,필라테스,프리미엄,54,286,41
2025-04-05,토,저녁,요가,프리미엄,70,285,41
2025-04-05,토,오전,필라테스,프리미엄,48,266,51
2025-04-05,토,오전,웨이트,일반,81,555,40
2025-04-06,일,저녁,웨이트,프리미엄,61,453,38
2025-04-06,일,오전,스피닝,프리미엄,53,502,48
2025-04-07,월,저녁,웨이트,프리미엄,93,698,29
2025-04-07,월,저녁,요가,프리미엄,71,273,42
2025-04-08,화,오전,요가,일반,67,280,24
2025-04-10,목,저녁,스피닝,일반,58,546,25
2025-04-10,목,오전,요가,일반,68,247,37
2025-04-10,목,저녁,요가,프리미엄,66,270,31
2025-04-13,일,오후,웨이트,일반,60,453,39
2025-04-14,월,저녁,스피닝,일반,36,308,50
2025-04-15,화,저녁,요가,일반,53,195,52
2025-04-16,수,오후,스피닝,프리미엄,65,574,19
2025-04-17,목,오후,스피닝,프리미엄,67,598,33
2025-04-17,목,저녁,스피닝,일반,44,453,47
2025-04-18,금,오전,스피닝,일반,51,528,31
2025-04-22,화,오후,요가,프리미엄,56,241,26
2025-04-22,화,저녁,필라테스,일반,59,282,32
2025-04-22,화,저녁,필라테스,프리미엄,62,302,28
2025-04-22,화,저녁,스피닝,일반,54,512,29
2025-04-23,수,오전,웨이트,일반,76,517,38
2025-04-23,수,오후,스피닝,프리미엄,51,462,19
2025-04-24,목,오전,필라테스,프리미엄,61,348,37
2025-04-24,목,저녁,요가,일반,51,220,19
2025-04-25,금,오전,필라테스,일반,47,220,48
2025-04-28,월,오후,필라테스,프리미엄,51,266,44
2025-04-29,화,저녁,스피닝,프리미엄,52,468,41
2025-05-04,일,오후,스피닝,일반,45,385,31
2025-05-05,월,저녁,웨이트,일반,69,505,40
2025-05-07,수,오전,웨이트,일반,62,448,29
2025-05-07,수,저녁,웨이트,프리미엄,70,459,21
2025-05-08,목,오전,필라테스,프리미엄,58,267,38
2025-05-08,목,저녁,웨이트,프리미엄,72,524,21
2025-05-09,금,오후,스피닝,프리미엄,43,391,45
2025-05-10,토,오후,스피닝,일반,55,462,68
2025-05-11,일,오후,요가,프리미엄,58,244,50
2025-05-11,일,저녁,필라테스,프리미엄,48,241,27
2025-05-11,일,저녁,필라테스,일반,53,265,19
2025-05-12,월,오후,스피닝,일반,62,572,65
2025-05-13,화,저녁,스피닝,프리미엄,65,559,29
2025-05-13,화,오전,스피닝,일반,41,368,47
2025-05-13,화,오후,스피닝,프리미엄,39,381,33
2025-05-13,화,오후,필라테스,프리미엄,58,273,26
2025-05-14,수,오전,요가,프리미엄,69,267,51
2025-05-14,수,저녁,요가,일반,48,200,39
2025-05-14,수,저녁,요가,일반,66,252,19
2025-05-15,목,저녁,웨이트,일반,63,456,23
2025-05-15,목,저녁,필라테스,일반,55,271,46
2025-05-16,금,저녁,웨이트,일반,54,405,27
2025-05-17,토,오전,스피닝,일반,44,438,38
2025-05-18,일,저녁,요가,일반,57,236,29
2025-05-18,일,저녁,스피닝,일반,47,435,43
2025-05-19,월,저녁,요가,프리미엄,53,223,41
2025-05-21,수,오후,스피닝,일반,38,385,21
2025-05-21,수,저녁,스피닝,일반,42,439,30
2025-05-24,토,저녁,웨이트,일반,73,529,43
2025-05-24,토,오후,웨이트,일반,67,445,42
2025-05-24,토,오전,요가,일반,51,190,42
2025-05-27,화,오후,웨이트,일반,65,479,29
2025-05-30,금,저녁,스피닝,일반,59,506,44
2025-05-31,토,오전,요가,일반,71,295,30
2025-05-31,토,저녁,요가,일반,69,303,43
2025-06-01,일,오전,스피닝,일반,60,530,52
2025-06-01,일,저녁,요가,일반,45,196,49
2025-06-02,월,오후,스피닝,프리미엄,48,457,41
2025-06-02,월,저녁,요가,일반,66,261,45
2025-06-02,월,저녁,필라테스,일반,41,207,38
2025-06-02,월,저녁,웨이트,일반,66,426,34
2025-06-02,월,저녁,요가,프리미엄,56,246,55
2025-06-04,수,오후,필라테스,일반,37,192,45
2025-06-05,목,오전,스피닝,프리미엄,45,455,51
2025-06-06,금,오전,요가,프리미엄,64,242,33
2025-06-08,일,저녁,스피닝,프리미엄,48,501,43
2025-06-09,월,오후,스피닝,프리미엄,53,476,52
2025-06-10,화,저녁,스피닝,일반,44,466,19
2025-06-10,화,오전,웨이트,프리미엄,63,445,45
2025-06-10,화,저녁,웨이트,일반,72,476,39
2025-06-11,수,저녁,필라테스,프리미엄,39,210,47
2025-06-11,수,저녁,웨이트,프리미엄,65,507,43
2025-06-11,수,오후,스피닝,프리미엄,48,509,33
2025-06-12,목,저녁,스피닝,일반,43,402,21
2025-06-13,금,오후,웨이트,프리미엄,67,506,41
2025-06-14,토,저녁,필라테스,일반,57,300,29
2025-06-14,토,오전,요가,일반,58,216,43
2025-06-14,토,오후,스피닝,일반,30,282,36
2025-06-17,화,오후,필라테스,프리미엄,50,279,41
2025-06-17,화,저녁,웨이트,일반,70,520,19
2025-06-19,목,저녁,웨이트,일반,66,413,41
2025-06-19,목,저녁,스피닝,프리미엄,43,370,58
2025-06-19,목,오후,필라테스,프리미엄,59,288,48
2025-06-19,목,오전,필라테스,일반,51,247,37
2025-06-20,금,오전,스피닝,일반,54,552,42
2025-06-20,금,오후,웨이트,일반,74,528,38
2025-06-22,일,오전,웨이트,일반,76,571,47
2025-06-23,월,저녁,스피닝,프리미엄,46,451,35
2025-06-24,화,오후,스피닝,프리미엄,51,466,28
2025-06-26,목,저녁,필라테스,프리미엄,63,300,33
2025-06-26,목,오후,스피닝,일반,41,393,35
2025-06-27,금,오후,스피닝,프리미엄,57,598,36
2025-06-28,토,오전,요가,프리미엄,78,327,40
2025-06-28,토,저녁,웨이트,일반,70,508,24
2025-06-29,일,오후,필라테스,일반,39,214,58
2025-06-30,월,오후,스피닝,프리미엄,58,541,26
2025-06-30,월,저녁,웨이트,일반,59,460,31
2025-07-03,목,저녁,필라테스,일반,41,189,24
2025-07-03,목,저녁,스피닝,일반,48,418,31
2025-07-03,목,오후,웨이트,일반,77,489,43
2025-07-03,목,오전,요가,일반,49,174,40
2025-07-03,목,오후,웨이트,프리미엄,81,622,24
2025-07-04,금,오전,스피닝,일반,59,606,32
2025-07-04,금,오전,필라테스,프리미엄,57,265,50
2025-07-04,금,오후,필라테스,일반,43,198,20
2025-07-04,금,오후,웨이트,일반,72,563,23
2025-07-06,일,오후,웨이트,일반,77,579,50
2025-07-06,일,오후,웨이트,일반,77,505,25
2025-07-07,월,오후,필라테스,일반,60,344,34
2025-07-08,화,저녁,요가,프리미엄,83,346,38
2025-07-08,화,저녁,웨이트,일반,76,519,30
2025-07-10,목,오전,요가,일반,60,216,54
2025-07-10,목,저녁,웨이트,프리미엄,84,529,35
2025-07-10,목,오후,요가,프리미엄,63,223,23
2025-07-11,금,저녁,웨이트,프리미엄,71,515,42
2025-07-12,토,오전,요가,일반,52,199,55
2025-07-13,일,저녁,웨이트,일반,77,480,37
2025-07-13,일,오전,웨이트,일반,64,421,57
2025-07-13,일,저녁,웨이트,프리미엄,68,504,31
2025-07-14,월,오전,요가,프리미엄,59,239,52
2025-07-14,월,오전,웨이트,일반,59,428,37
2025-07-14,월,저녁,필라테스,프리미엄,56,322,45
2025-07-15,화,오후,요가,일반,76,294,40
2025-07-17,목,저녁,웨이트,일반,72,447,35
2025-07-19,토,오후,스피닝,프리미엄,36,373,27
2025-07-19,토,저녁,웨이트,일반,57,431,41
2025-07-19,토,저녁,요가,프리미엄,60,234,39
2025-07-19,토,저녁,스피닝,프리미엄,48,470,38
2025-07-20,일,오후,웨이트,일반,56,363,35
2025-07-20,일,오후,웨이트,일반,79,549,39
2025-07-22,화,오후,웨이트,일반,68,474,31
2025-07-22,화,오전,웨이트,프리미엄,65,495,33
2025-07-22,화,저녁,요가,일반,56,218,31
2025-07-22,화,오전,요가,일반,32,142,36
2025-07-23,수,저녁,스피닝,일반,35,320,64
2025-07-23,수,저녁,필라테스,일반,52,269,19
2025-07-23,수,오전,스피닝,일반,26,234,32
2025-07-23,수,저녁,웨이트,일반,76,562,29
2025-07-24,목,오전,요가,프리미엄,71,272,33
2025-07-25,금,오전,요가,일반,59,230,22
2025-07-25,금,오전,필라테스,일반,46,231,50
2025-07-26,토,오전,스피닝,프리미엄,44,439,42
2025-07-26,토,오전,요가,일반,71,313,45
2025-07-26,토,오후,요가,일반,60,266,49
2025-07-26,토,오전,웨이트,프리미엄,65,479,30
2025-07-27,일,오후,웨이트,일반,67,464,41
2025-07-29,화,저녁,필라테스,프리미엄,49,237,34
2025-07-29,화,저녁,요가,일반,57,224,28
2025-07-30,수,오전,요가,일반,68,252,48
2025-07-30,수,오전,스피닝,프리미엄,43,437,30
2025-07-31,목,오전,스피닝,일반,35,349,33
2025-07-31,목,오후,필라테스,프리미엄,56,325,44
2025-07-31,목,저녁,웨이트,일반,72,511,23
2025-07-31,목,저녁,웨이트,일반,72,466,26
2025-08-01,금,오전,웨이트,일반,63,422,28
2025-08-01,금,저녁,웨이트,일반,69,499,44
2025-08-02,토,저녁,웨이트,프리미엄,61,379,32
2025-08-02,토,저녁,웨이트,일반,67,480,55
2025-08-03,일,오전,스피닝,일반,30,309,23
2025-08-03,일,저녁,웨이트,일반,58,431,51
2025-08-03,일,오전,필라테스,일반,40,186,46
2025-08-03,일,오전,필라테스,일반,43,234,27
2025-08-04,월,오전,웨이트,프리미엄,83,593,19
2025-08-05,화,오후,요가,일반,39,172,41
2025-08-06,수,저녁,웨이트,프리미엄,60,443,22
2025-08-06,수,오후,스피닝,일반,39,369,53
2025-08-06,수,오전,필라테스,일반,45,257,38
2025-08-07,목,오후,요가,일반,53,231,31
2025-08-08,금,오후,웨이트,프리미엄,64,427,50
2025-08-09,토,오후,필라테스,일반,57,267,32
2025-08-10,일,저녁,요가,프리미엄,81,346,44
2025-08-11,월,오전,필라테스,프리미엄,60,335,33
2025-08-11,월,저녁,필라테스,프리미엄,62,285,35
2025-08-11,월,저녁,스피닝,일반,44,419,37
2025-08-12,화,오전,요가,프리미엄,69,277,66
2025-08-13,수,오전,웨이트,프리미엄,68,419,52
2025-08-14,목,오후,필라테스,프리미엄,56,263,20
2025-08-15,금,오후,필라테스,일반,55,285,39
2025-08-15,금,오후,요가,일반,61,248,38
2025-08-15,금,저녁,요가,프리미엄,67,290,43
2025-08-16,토,저녁,웨이트,일반,60,398,38
2025-08-18,월,오전,웨이트,일반,58,405,39
2025-08-18,월,저녁,요가,일반,77,331,40
2025-08-19,화,저녁,요가,프리미엄,69,300,32
2025-08-20,수,저녁,요가,프리미엄,71,267,22
2025-08-21,목,저녁,필라테스,프리미엄,38,220,46
2025-08-21,목,오후,스피닝,일반,35,326,52
2025-08-21,목,오전,웨이트,일반,65,420,30
2025-08-22,금,오후,웨이트,프리미엄,58,398,48
2025-08-23,토,오전,스피닝,일반,36,351,35
2025-08-24,일,오후,필라테스,일반,50,254,29
2025-08-24,일,저녁,필라테스,프리미엄,60,302,34
2025-08-24,일,오전,필라테스,일반,42,234,34
2025-08-26,화,저녁,요가,프리미엄,81,319,19
2025-08-27,수,오전,스피닝,일반,42,408,28
2025-08-27,수,오후,스피닝,프리미엄,53,494,19
2025-08-28,목,오전,요가,프리미엄,64,259,30
2025-08-29,금,저녁,필라테스,프리미엄,61,318,43
2025-08-29,금,오후,요가,일반,54,206,33
2025-08-30,토,오전,스피닝,일반,47,491,40
2025-08-30,토,오전,요가,프리미엄,77,292,40
2025-08-31,일,오후,웨이트,일반,60,373,31
2025-09-01,월,저녁,스피닝,프리미엄,49,423,32
2025-09-02,화,저녁,웨이트,프리미엄,87,670,32
2025-09-04,목,저녁,필라테스,일반,44,252,22
2025-09-04,목,오전,스피닝,일반,61,538,43
2025-09-05,금,저녁,웨이트,일반,50,374,41
2025-09-06,토,저녁,웨이트,프리미엄,72,447,39
2025-09-06,토,오후,스피닝,일반,22,183,43
2025-09-07,일,오전,스피닝,일반,46,461,19
2025-09-07,일,오전,스피닝,프리미엄,63,536,37
2025-09-08,월,오전,웨이트,프리미엄,60,431,46
2025-09-08,월,오전,스피닝,일반,48,489,43
2025-09-08,월,저녁,웨이트,프리미엄,78,539,60
2025-09-08,월,오전,웨이트,프리미엄,71,546,35
2025-09-08,월,저녁,필라테스,프리미엄,51,295,39
2025-09-10,수,오전,스피닝,프리미엄,43,372,25
2025-09-11,목,오후,요가,일반,69,269,51
2025-09-11,목,저녁,스피닝,일반,36,315,36
2025-09-12,금,저녁,스피닝,일반,49,497,43
2025-09-12,금,오후,필라테스,일반,55,311,40
2025-09-12,금,저녁,웨이트,프리미엄,57,366,33
2025-09-13,토,오전,스피닝,일반,46,386,34
2025-09-13,토,저녁,요가,일반,70,278,55
2025-09-13,토,오전,웨이트,프리미엄,60,432,45
2025-09-14,일,저녁,요가,일반,66,261,39
2025-09-14,일,오후,웨이트,프리미엄,75,571,47
2025-09-14,일,저녁,웨이트,일반,63,486,44
2025-09-14,일,저녁,웨이트,일반,54,379,32
2025-09-15,월,저녁,필라테스,프리미엄,52,262,32
2025-09-16,화,저녁,웨이트,프리미엄,67,460,24
2025-09-17,수,오전,스피닝,일반,44,385,41
2025-09-19,금,오후,필라테스,프리미엄,52,275,31
2025-09-20,토,저녁,필라테스,일반,46,239,41
2025-09-20,토,오후,필라테스,일반,42,202,51
2025-09-22,월,저녁,웨이트,일반,56,352,22
2025-09-23,화,저녁,웨이트,프리미엄,64,431,45
2025-09-23,화,저녁,웨이트,일반,57,403,40
2025-09-23,화,오전,스피닝,일반,35,303,38
2025-09-23,화,저녁,요가,일반,72,265,38
2025-09-24,수,저녁,필라테스,프리미엄,68,378,28
2025-09-24,수,오전,웨이트,프리미엄,67,432,34
2025-09-27,토,오전,웨이트,일반,85,640,54
2025-09-29,월,오후,요가,일반,70,260,19
2025-09-30,화,저녁,필라테스,일반,54,290,40
2025-09-30,화,오전,요가,일반,55,226,54
2025-10-01,수,오후,필라테스,일반,48,253,26
2025-10-01,수,오후,필라테스,일반,44,221,58
2025-10-02,목,저녁,스피닝,프리미엄,35,353,43
2025-10-04,토,저녁,웨이트,일반,66,489,19
2025-10-04,토,오전,필라테스,프리미엄,44,221,43
2025-10-04,토,저녁,웨이트,프리미엄,71,440,46
2025-10-06,월,오후,필라테스,일반,51,240,44
2025-10-06,월,저녁,웨이트,일반,71,545,27
2025-10-08,수,저녁,요가,일반,68,282,31
2025-10-08,수,저녁,웨이트,프리미엄,63,447,35
2025-10-08,수,오후,스피닝,프리미엄,51,483,28
2025-10-09,목,저녁,웨이트,일반,69,499,29
2025-10-09,목,오전,웨이트,프리미엄,76,560,50
2025-10-09,목,저녁,웨이트,일반,64,414,19
2025-10-10,금,오후,웨이트,프리미엄,75,555,36
2025-10-10,금,저녁,스피닝,일반,54,472,41
2025-10-10,금,오후,필라테스,프리미엄,50,235,48
2025-10-10,금,저녁,필라테스,일반,59,307,28
2025-10-14,화,저녁,웨이트,일반,54,415,26
2025-10-15,수,오후,요가,프리미엄,64,285,43
2025-10-15,수,오후,필라테스,일반,59,288,62
2025-10-15,수,저녁,웨이트,프리미엄,74,474,36
2025-10-16,목,저녁,웨이트,프리미엄,58,410,57
2025-10-17,금,오후,요가,일반,47,208,40
2025-10-18,토,저녁,스피닝,일반,43,421,30
2025-10-21,화,저녁,웨이트,프리미엄,57,413,50
2025-10-22,수,오전,스피닝,프리미엄,47,400,21
2025-10-23,목,오전,필라테스,일반,35,199,26
2025-10-24,금,저녁,웨이트,일반,63,420,33
2025-10-25,토,오후,요가,일반,59,240,41
2025-10-26,일,오후,요가,프리미엄,81,337,34
2025-10-28,화,오전,스피닝,프리미엄,55,472,33
2025-10-28,화,오후,웨이트,일반,66,423,35
2025-10-30,목,오후,필라테스,일반,45,224,26
2025-10-31,금,저녁,요가,일반,57,207,35
2025-11-02,일,저녁,웨이트,프리미엄,80,578,37
2025-11-02,일,저녁,요가,일반,72,267,39
2025-11-02,일,오전,요가,프리미엄,75,297,30
2025-11-03,월,저녁,요가,프리미엄,55,241,55
2025-11-03,월,저녁,요가,프리미엄,75,330,42
2025-11-05,수,저녁,스피닝,프리미엄,66,655,36
2025-11-06,목,오전,스피닝,일반,41,354,38
2025-11-09,일,저녁,요가,프리미엄,73,271,42
2025-11-10,월,오전,요가,일반,67,280,37
2025-11-10,월,오후,웨이트,일반,77,581,28
2025-11-11,화,저녁,요가,일반,63,223,19
2025-11-12,수,저녁,요가,일반,67,238,21
2025-11-12,수,저녁,요가,프리미엄,51,226,40
2025-11-13,목,저녁,요가,일반,63,258,36
2025-11-13,목,저녁,웨이트,일반,74,557,29
2025-11-13,목,저녁,요가,일반,43,156,50
2025-11-17,월,저녁,웨이트,프리미엄,74,560,45
2025-11-19,수,오후,웨이트,일반,67,467,33
2025-11-20,목,저녁,요가,프리미엄,65,236,36
2025-11-20,목,저녁,요가,프리미엄,56,248,42
2025-11-21,금,오후,웨이트,일반,64,439,50
2025-11-22,토,오전,필라테스,일반,41,214,33
2025-11-23,일,저녁,요가,프리미엄,57,237,19
2025-11-23,일,저녁,웨이트,프리미엄,71,531,35
2025-11-24,월,오전,스피닝,일반,56,476,31
2025-11-27,목,오전,요가,프리미엄,58,212,35
2025-11-28,금,오후,웨이트,프리미엄,86,616,32
2025-11-28,금,저녁,필라테스,일반,63,361,40
2025-11-28,금,오전,요가,프리미엄,50,208,28
2025-11-29,토,오전,웨이트,일반,71,465,50
2025-12-01,월,오후,필라테스,일반,56,322,22
2025-12-03,수,저녁,스피닝,프리미엄,55,570,19
2025-12-04,목,저녁,스피닝,일반,49,488,19
2025-12-05,금,오후,웨이트,프리미엄,80,614,23
2025-12-05,금,오후,스피닝,일반,35,295,33
2025-12-06,토,오후,요가,일반,59,237,19
2025-12-07,일,오후,필라테스,일반,44,209,45
2025-12-08,월,오전,웨이트,일반,66,461,51
2025-12-17,수,저녁,필라테스,일반,31,142,44
2025-12-18,목,저녁,스피닝,일반,43,379,42
2025-12-18,목,저녁,웨이트,일반,55,408,34
2025-12-19,금,오전,필라테스,일반,52,290,56
2025-12-20,토,저녁,웨이트,프리미엄,66,413,29
2025-12-20,토,오전,스피닝,일반,52,435,23
2025-12-23,화,오전,요가,일반,61,216,47
2025-12-23,화,저녁,요가,프리미엄,70,293,19
2025-12-24,수,오전,스피닝,일반,37,322,19
2025-12-24,수,저녁,스피닝,일반,38,365,24
2025-12-25,목,저녁,요가,프리미엄,60,229,19
