product_type,text
자세밴드,자세교정이 필요해서 구매하게 되었습니다 개인적인 생각으론 50대이후 꼭 필요한 필수품입니다 자연스럽게 기울어지는 등을 잡아주어서 더 감사합니다
자세밴드,"사무직이라 오래 앉아 있다 보니 자세가 많이 무너져서 등이 굽었단 이야기 많이 듣는데 이 교정 밴드 착용하니 등이 자연스럽게 펴지고 어깨도 덜 말려서 확실히 편해요. 처음엔 조금 낯설었지만 금방 적응되고, 오래 착용해도 압박감이 심하지 않아 만족스럽습니다. 꾸준히 쓰면 자세 교정에 도움이 될 것 같아요."
선크림,"가족들도 다 같이 쓸 수 있는 선크림을 찾다가 발견했어요. 피부에 순하게 쓸 수 있다고 해서 사봤습니다. ✅상품 설명 -온가족용 수분보충 선케어 -3중 기능성 케어 -피부의 건강한 힘을 길러주는 바이오미믹 & UV 프로텍션 -UV 밀착보호 텍스처 ✅실사용후기 온가족이 함께 쓰는 수분폭탄 선크림, 피지오겔 데일리 모이스쳐 UV 패밀리 썬 로션입니다. 저자극으로 안심하고 사용할 수 있는 선크림이고 미백 주름개선 효과가 있는 제품이라고 해요. 자외선 차단 지수는 SPF50+ PA+++이고요. 용량은 생각보다 용기 크기는 작은데 100ml으로 보통의 선크림의 2배정도라 데일리로 부담없이 쓰기 좋아요. 피지오겔 데일리 모이스쳐 UV 패밀리 썬 로션은 수분, 보습 및 수렴 성분을 함유하여 피부를 촉촉하고 부드럽게 케어해준다고 해요. 그리고 자외선으로 푸석해진 피부에 촉촉하게 윤기를 주어 건강하게 케어해주며 얼굴 전체에 발라주면 자외선 차단 뿐만 아니라 주름개선, 미백까지 피부고민을 케어할 수 있다고 하네요. 또한 피지오겔 바이오미믹 테크놀로지 적용 포뮬라에 자외선 차단 기능을 더해서 진정과 보습에 도움을 주고 자외선으로부터 피부를 보호해준다고 합니다. 사용하기전엔 살짝 흔들어서 사용하심 됩니다. 일반 흰색 선크림 제형이구요. 워터타입으로 수분감을 머금고 있어 촉촉하게 발리는게 발림성이 참 좋아요. 산뜻하게 발리면서 끈적이지 않아 사용감이 깔끔합니다. 제형이 무겁거나 답답하지 않고 가벼워서 데일리로 바르기 딱인거 같아요. 얼굴 뿐만 아니라 자외선차단이 필요한 곳에 로션 바르듯이 부드럽게 펴바르기 좋네요. 발림성 좋은 선크림 찾으시는 분들께 추천드려요. ✅한줄평 가볍고 촉촉해서 온가족이 함께 바르기 좋은 선크림"
선크림,기초화장품을 다 바르고 발랐는데도 넘 되직해서 얼굴에서 흡수가 잘 안되는듯해요.. 몇번 바르지 못했는데 아까워요..
자세밴드,❌️찐 구매 후기❌️ 허리가 많이 안좋은 편이고 약간의 측만이 있어서 항상 업무할 때 자세가 너무 안좋았어요 많은 제품들 서칭해보고 제일 괜찮아 보이는 제품을 구매해봤어요. 일단 한마디로 정리하자면 #앞으론 이거 착용 안하고는 업무 절대 못해요.# 제 어깨와 허리를 쫙 펴주고 굽은 등을 펴주어서 몸건강이 매우 좋아졌어요. 제가 느끼던 통증도 사라졌구요 무엇보다 어깨가 펴지고 등이 펴지니 체형교정이 되어 그런가 신기하게도 뱃살도 좀 들어가고 몸매가 예뻐지는거같아요^^ 착용법도 쉽고 편해서 아주 좋아요 쿠팡비닐안에 상자로 깔끔하게 포장되어 오는것도 마음에 들었고 주위 지인들한테 간단한 선물하기도 좋은거같아요 오늘 부모님것도 2개 더 구매했어요. 많이 써서 닳으면 또 구매할거에요 품절 절대 안돼요!! 계속 팔아주세요
선크림,온가족이 함께 사용하고 있어요~ 그래서 자주자주 주문하고 있습니다~ 백탁현상도 없고 답답하지 않아서 참좋습니다~ㅎ 다른거 쓸때는 스킨 로션바르고 크림바르고 바로 썬크림 바르면 잘발라지지도 않고 얼굴이 하얗게 가부키 처럼ㅎㅎ 됐었는데 바썬크림은 바로 발라도 크림한번 더바른것처럼 깔끔 합니다! 너무 만족하고 사용하고 있어요~ㅎㅎ
자세밴드,딸이 평소에 자세가 많이 구부정해서 걱정이었는데 이번에 이 교정 밴드를 구입해 착용시켜보니 어깨가 바로 펴지는 게 눈에 보여서 정말 신기했어요. 밴드가 과하게 조이지 않고 적당히 잡아주면서 어깨를 바르게 만들어주니 착용감도 괜찮고 일상생활하면서도 무리 없이 사용할 수 있어요. 처음에는 조금 어색해했는데 몇 번 착용하더니 점점 편해지고 본인도 자세가 달라진 걸 느낀다고 하더라구요. 무엇보다 약국 입점 상품이라 믿을 수 있어서 안심이 되고 마감도 깔끔해 오래 사용할 수 있을 것 같아요. 남녀공용이라 가족 모두 함께 쓸 수 있는 점도 장점이에요. 우리 딸뿐만 아니라 저도 종종 써보려구요. 꾸준히 사용하면 확실히 자세 교정에 도움 될 것 같아 만족스러워요.
자세밴드,점점 나이도 들고 컴퓨터 앞에만 앉아있다보니 자세도 구부정해지고 허리에 통증이 생겨서 주문했어요. 허리보호대로 허리를 쭉 피니까 평소 자세가 얼마나 틀어져있는지 절실히 느끼네요. 특히 밴드를 조절할 수 있는 점이 체형에 맞게 사용할 수 있어서 아주 좋았습니다!
자세밴드,허리부터 어깨까찌 쫙~ 펴줍니다. 매일 pc앞에 앉아 있느라 자세가 자동으로 구부정해지는데 제품 척추 부분에 지지대가 매우 튼튼해요. 이거 착용하면 구부리는게 더 힘들 정도에요 자세 교정 제대로입니다. 어깨에 걸치고 복부에 교정 시키고 pc작업 해도 자세가 흐트러지지 않아요.
자세밴드,"고개,허리를 많이 숙이게 되는 것 같아 꼿꼿하게 바른자세를 유지하려고 노력하는데 쉽지않더라고요.그래서 교정밴드를 주문했는데 만족스럽네요.뭔가에 집중하다보면 나도 모르는 새 자세가 나쁘게 변하는데 그걸 방지해주고,착용했을 때 불편함 없이 편하더라고요.게다가 통기성 좋은 소재라 답답하지 않아 좋네요."
자세밴드,굽은 허리와 통증이 있는 허리를 위한 좋은 선택이었어요 ^^ 허리와 배를 전체적으로 감싸주니 안정적으로 자세 교정이 되는거같아요 :D 신축성이 좋아서 움직이기 편해요 :)
자세밴드,평소 자세가 좋지 않아서 찾아보다가 구매했습니다! 운동할때에도 사용하기 좋고 평소에도 착용하고 있어요 밴드가 고정해주니까 너무 편하네요 답답하지도 않고 통기성도 좋습니다!
자세밴드,교정용으로 구매해서 잘 쓰고 있습니다 바른자세를 잡아줘서 장시간 작업할 때 척추랑 허리가 아프지 않네요 전에쓰던게 찢어져서 주문했습니다 179 70 2xl 무리없이 잘 사용하고 있어요 어제 시키니깐 오늘 배송 도착했습니다 칼배송
선크림,"#내돈내산 1년 365일 선크림이 필수라는거 아시나요?! 결혼하기 전에는 항상 화장을 꼭 하고 다니고 선크림도 필수로 바르고 다녀서 몰랐는데... 아이낳고 바쁘게 나갈때는 선크림도 못나가고 그러다 보니 기미가 생겼어요 ㅜㅜ 다른 이유도 있겠지만 확실히 선크림을 꾸준히 빠짐 없이 발라주면 안 바르는 것과는 큰 차이가 있다고해요. 선크림도 브랜드도 많고 종류도 너무 많아서 고르기가 어려운데 특히!! 백탁이 있는 선크림을 꼭 피하게 되더라구요. 그러다 알게 된 ' 이자녹스 UV 선 프로 365 데일리 커버 ' ✅️ 기능 ✔️ 자외선 차단 ✔️ 톤업 기능 ✔️ 워터프루프 ✔️ 부드럽게 발림 ➡️일반 선크림 보다 발랐을 때 메이크업 효과가 있어서 이번에 재구매를 했어요^^ 저번에 사용하고 새로 구매했는데 용기 디자인이 좀 바껴있네요. 제가 피부가 건성이다 보니 화장이 잘 안먹기도 하는데 이건 그런거 상관없이 촉촉하게 잘 발려요!! 사용해보면 아시겠지만, 사진에서처럼 색상이 베이지 색상이라서 피부에 너무 잘 어울리게 발려요. ❗️촉촉한 텍스쳐로 피부 톤 보정이 되면서 백탁현상 없고 이것만 발라도 일반 선크림보다 화장한 얼굴 같아서 계속 구매하게 되는 제품입니다 ㅎㅎ 선크림 고민하시는 분들께 추천해드리고 싶어서 열심히 후기를 쓰고 있어요!! 예전에는 쿠팡 로켓배송에 LG화장품 제품이 없었던 것 같은데 이제는 가능하니 구매하기 쉬워서 너무 좋아요^^ 적극추천합니다!! ❤️제 후기가 조금이나마 도움이 되었길 바랍니다."
선크림,저희 엄마ㅠ 선크림만 바르면 눈까지 퉁퉁부어서 간지럽다고 하시고 약도 챙겨드시는데 이거 바르면 그런 증상 없으세요 그래서 선크림 안맞으시는 분들 이거 추천드려요!!
자세밴드,딸래미가 핸드폰을 하면서 구부정자세로 하더라구요.그래서 자세 교정좀 해보려고 검색하다 구매 해봤어요.허리랑 어깨랑 한번에 잡아줘서 좋구요.사용방법도 간단해서 누구나 손쉽게 착용할수있어서 좋구요.통기성 에어메쉬로 장시간에도 안심하고 착용할수 있어서 좋은거같아요.
자세밴드,항상 바른자세유지를 위해 퇴근후에 집에오면 한두시간씩 착용하고 있어요 제가 허리가 살짝 굽었는데 허리도 펴지고 좋은거같아요
선크림,다른 선크림은 찐득찐득한데 이제품은 촉촉한거같아요!! 그리구 무엇보다도 비싼 제품처럼 발색도 잘발립니다 ㅎㅎ 만족합니당!
자세밴드,구부정하게 앉아 있는 자세가 습관이 되어서 어깨를 펴고 똑바로 앉기가 쉽지 않은데요 혼자서는 교정하기가 힘들 것 같아서 밴드를 착용하기 시작했어요~ 확실히 단단하게 지지를 해주니까 바른 자세를 유지하게 되고요 착용 방법이 간단해서 입고 벗기가 편하네요! 꾸준히 사용해서 바른 자세 만들어 보려고 해요
자세밴드,업무를 하다보면 자세가 구부정하게 되서 퇴근할때쯤 허리가 아프다해서 남편 자세 교정하라고 구매했는데 굿초이스! 구부정했던 자세가 자세교정밴드하니까 착용하고 있는동안은 자세신경쓰게되고 허리가 쫙 펴진 상태로 있게되서 좋다고하네요! 허리부위 매쉬부분도 있어 통기성도 좋고 무의식중에서도 허리교정해주니 구웃!
자세밴드,자세가 구부정해지면서 허리도 많이 아파지고 그러는 게 많이 느껴졌어요 병원을 가기엔 심한 건 아니지만 그렇다고 가만히 있기엔 신경이 많이 쓰이고 아파져서ㅠㅠ 자세 교정 밴드를 알게 되어 구매해보았어요 남녀공용이라 구매하기 편했고 제품을 받자마자 사용해보니 허리가 펴지는 듯한 느낌을 받았습니다 장시간 앉아있어야 하는데 확실히 허리를 펴주는 거 같아 시원하고 좋아요 한번에 오래 착용하면 아플 수도 있을 것 같아 조금씩 시간을 늘릴려고 합니다 앉은 자세가 요즘 안좋았던건지 허리가 확실히 괜찮아졌어요ㅎㅎ 주변 지인들에게도 추천해 줄 만한 잇템이랍니다.
자세밴드,어께가 자꾸 앞으로 쏠리고 핸드폰을 오래하면 목도 아프고... 자세교정용으로 잠깐씩 착용하는데 어께를 쫙 펴주니 자세도 꽂꽂해지고... 어께 결림과 목 통증도 좀 완화되는것 같네요. 너무 오래 착용하면 안좋을것 같아 1시간~2시간 정도씩 착용합니다.
자세밴드,모니터 많이 보고 핸드폰도 엄청 매일 보다 보닌깐 목이랑 어깨가 상태가 안좋아서 병원 진료 받고 있습니다. 집에서도 자세교정 신경쓰려면 밴드 꼭 필요한거 같아서 구매했어요. 밴딩 두껍고 두툼해서 확실히 편하네요. 이게 처음에는 좀 어색했는데 꾸준히 해서 자세교정 관리가 잘해보려고 합니다. 어깨 굽은거 진짜 좀 고치고 싶어요.
자세밴드,라운드 숄더라 어깨가 많이 굽었는데 이거 사용하니까 허리랑 어깨가 잘 펴지네요 ㅎㅎ 확실히 효과가 있는 것 같아요
선크림,간단하게바르고나가기좋아요~~살짝커버도되고또찾게된제품입니다
자세밴드,"요즘 컴퓨터 앞에 앉아 있는 시간이 많아지다 보니 어느 순간부터 자세가 점점 구부정 해지더라고요;; 거북목도 심해지는 느낌이라 뭔가 도움이 될 만한 걸 찾다가 자세교정밴드를 써보기로 했습니다! 처음 며칠은 어깨가 좀 뻐근했는데, 쓰다 보니까 오히려 자세가 바로 잡히는 느낌이 들었어요~ 하루에 1~2시간 정도만 착용해도 자연스럽게 자세에 신경 쓰게 되고, 무심코 허리를 구부리려다가도 다시 펴게 되더라고요^^ 특히 어깨가 펴지면서 상체 전체가 조금 더 안정되는 느낌이 들어서 좋았어요! 운동이랑 같이 해주면 효과가 더 좋은 것 같고요ㅋ 한 줄 정리하자면 ✔️ 자세 교정 시작하기에 부담 없고 ✔️ 습관 들이기에 꽤 괜찮은 도구였습니다 비슷한 고민 있는 분들께 추천드려요^^"
자세밴드,"거북목이 심해서 자세교정용으로 착용할려고 구매했는데, 일단 고개가 숙여지면 불편해서 숙이는걸 자제하게 되네요. 자세가 바르게 되니, 확실히 키가 커 보입니다."
자세밴드,어떤분이 이런 벨트를 사용 하다보면 허리부분 벨트가 위로 올라간다는 얘기를 어디서 본것 같은데 정말 그래요 이런벨트는 개인적인 생각이라서 직접 사용해봐야 알것 같아요 생각했던거 보다는 허리쪽은 잘 잡아주지 못하는듯~~
선크림,무난한 선크림 같습니다. 쿠팡에서 저렴하게 구입해서 만족합니다.
자세밴드,"평소 허리랑 어깨 통증이 자주 있어서 자세 교정용으로 찾다가 후기 보고 이 제품으로 선택했어요. 포장도 깔끔하고 고급스러워서 선물용으로 딱 좋았고, 착용감도 생각보다 편하다고 하네요. 처음엔 약간 조이는 느낌이 있지만 하루 이틀 착용하니 확실히 자세가 펴지는 게 느껴진대요. 특히 장시간 운전하거나 컴퓨터 앞에 앉아 있을 때 허리가 덜 뻐근하다고 해서 만족했어요. 디자인도 티 안 나서 출근할 때도 착용 가능해요. 선물용으로 추천합니다!"
자세밴드,✔️어깨 등 허리까지 탄탄하게 지지해줌~ ✔️2중 고탄성밴드로 말린 어깨 쫙 펴짐 ✔️안정적인 바른자세 유지에 도움 ✔️장시간 사용해도 불편함 없음~ ✔️매쉬소재로 통기성 좋음 말린 어깨가 고민이기도 하고 이젠 어깨까지 결려서 바른자세에 좋다는 많은걸 사모으는 중인데~ 그중에선 가장 효과 본 제품같네요~✔️ 일단 착용법이 편하고 남자 사이즈에 맞는걸로 사서 잘 맞습니다. 착용후 바른자세 유지도 물론이지만 어깨 등 허리가 쫙 펴지니 어깨 결림에도 도움 받는거같아요 내구성도 좋고 새물건의 냄새도 나지 않고~✔️ 오자마자 작업할때마다 끼고있는데 상당히 좋네요~ 의자보다 자세교정밴드가 더 도움되는거같아요~ 구부리려고해도 펴진 어깨가 마음에 들어서 괜히 어깨 피려고 하는 점도 좋고~ 허리 밴드도 답답하지 않아요~✔️ 밴드 부분도 넓직해서 착용하기 편합니다. 통기성 좋은 소재라 땀 많이차는 여름에도 잘쓰겠어요 제가쓰는걸 보더니 어머니도 탐을 내셔서~ 여성용으로 하나더 사려구요~✔️ 키가 2센치는 더 큰기분이 드는데~ 기분 탓인건지 말린 어깨가 펴져서 그런건지~ 조끼형에 뒷판 와이자 밴드 허리지지 밴드까지~ 이물감 없이 착용하고있어요~ 매일꾸준히 사용중인데 불편함이 없습니다~✔️ 올해는 쫙 펴진 어깨로 다닐수있겠어요~✔️
선크림,"""선크림은 무조건 1년내내 항상 발라요^^ 완전 필수템이죠ㅎ 선크림이 답답함이나 끈적임이 하나도 없이 산뜻하고 바른후 피부가 촉촉 수분크림처럼 발림이 넘 좋아요ㅎㅎ 발림성 만큼이나 중요한 백탁 현상이 없어서 진짜 좋네요 막 발라도 허옇게 되지 않고 촉촉하게 피부결이 좋아보이네요^^ 밀림현상이 없어서 화장 할때도 확실히 좋은것같아요!! 신랑이 그냥 막 팍팍 발라도 백탁현상없이괜찮아서 부담없이 바를수 있어서 진짜 좋다고합니다ㅋㅋ 이제는 골고루 못발라서 고생 할일 없어요!! 피부에 자극없이 순해서 아이도 함께 온가족이 사용하고있어요 눈시림및 잔여감 없고 끈적임이 없어서 아주 만족스러워요"""
선크림,전에 사용한 제품은 크림타입이라 장기간사용했는데...ㅠㅠ
자세밴드,아들이 자세가 구부정해 고민하다 이걸 찾게 되었어요 요즘 애들이 폰이나 패드를 자주 보다보니 거북목인 애들도 많은거같고 걱정이네요ㅠ 착용방법은 쉽네요 지금 초6이고. 166 72키로 되는데 2Xl 하니까 사이즈 괜찮은거 같아요 우선 착용하고 쪼여주니 등과 어깨가 펴지네요 이거 착용하고 있으면 자연스레. 자세가 잡히겠어요 자세가 바르니 키가 좀더 커보이네요 게임할때만 하고 있어도 자세교정에 도움은 될꺼같아요 완전한 치료는 되지않더라도 가슴. 어깨가 펴지니 거북목도 괜찮아질꺼 같고 어느정도는 교정이 될꺼같아요
선크림,발림성이나 냄새 다 괜찮은데 생각보다 너무 묽어서 별로라고 하시네요 ㅠ 그거 빼고는 다 만족하신대요~ 느낌은 물이랑 로션 중간? 느낌이에요!!
자세밴드,저도 모르게 자꾸 구부정하게 앉다보니 항상 목 어깨 허리 안아픈곳이 없어서 큰맘먹고 구매합니다
자세밴드,답답할까 고민하다 주문했는데 답답함 1도 없네요~ 착용 후에는 어깨를 굽히고 싶어도 굽힐 수가 없어요 ㅎㅎ 어깨는 기본이고 목까지도 강제로 펴져요. 특히 찍찍이 부분이 고정이 잘 돼서 꽉 조여도 안정적입니다. 하루에 몇시간만 해주고 풀어도 어깨 핀 습관이 남아있어서 좋은 자세가 유지가 잘 돼요 일주일 좀 넘게 사용중인데 주변에서 자세 많이 좋아졌다고 이야기 해줘서 너무 만족스러워요!!
선크림,피부가 따갑거나 그런건 없어요. 발림성도 좋고 뭉치지 않고 화사하게 연출됩니다. ^^ 가격도 착하고 이것만 쓰는중. ㅎ
자세밴드,부모님 사용하시라고 구매했어요 여름은 더워서 잘 못쓰지만 가을.겨울엔 겉옷을 입으니 입고 다니기 좋을거 같아요 허리가 펴지긴한다고 아프면서 괜찮대요^^
자세밴드,어깨 목 잘잡아주고 좋네요 어깨 결리는 것 없이 전체적으로 편하게 잘 잡아줍니다 설명서랑 같이 있어서 착용하기 쉬웠어요
선크림,《 이자녹스 UV 선프로 데일리 365 커버 선크림 》 ========================================================== ○ 구매일자 ㅡ 4월 6일 ○ 배송일자 ㅡ 4월 7일 ○ 내용량 ㅡ 70ml ○ 유효기간 ㅡ 28년 2월 24일 ========================================================== 이자녹스 365 데일리 커버 선크림은 메이크업 베이스 성분이 함유된 커버선크림이에요. 일반 톤업 선크림 보다는 자연스러워서 한톤 밝아지는 느낌이에요. 부드러운 크림 제형으로 부드러운 발림성으로 뭉침없이 고루 잘 발리는 타입이에요. 또 워터프루프 타입으로 땀이나 물에 강해서 좋더라구요. 여름에 땀이 많이 나도 유지력이 좋아 자주 구매하게 되더라구요. 자외선 차단지수는 SPF50+ PA +++ 제품으로 지속력도 좋아요. 자연스런 톤업으로 남녀노소 누구나 사용하기 좋은것 같아요. ==========================================================
자세밴드,"요즘 컴퓨터 앞에 오래 앉아 있다 보니 어깨가 점점 안쪽으로 말리고, 사진 찍을 때도 자세가 흐트러져 보여서 고민이 많았어요. 그런데 이걸 착용해보니 처음엔 살짝 어색했는데 금방 편안하게 자리 잡더라구요. 당기거나 조이듯 불편한 느낌이 아니라, 자연스럽게 어깨를 뒤로 열어주는 느낌이라 하루 종일 착용해도 부담이 없었어요. 특히 오래 앉아 있을 때 등이 구부정해지는 순간마다 살짝 잡아줘서 자세가 자동으로 다시 펴지니까 신기하더라구요. 티 안 나는 디자인이라 옷 안에 넣어 입기 좋고, 외출할 때도 전혀 거슬리지 않아서 하루 루틴에 자연스럽게 들어왔어요. 꾸준히 쓰다 보니 어깨 라인이 조금씩 정돈되는 느낌이라 목도 덜 뭉치고, 피로도 확 줄었어요. 자세 교정이 이렇게 편하게 될 줄 몰라서 요즘은 습관처럼 챙겨 착용하고 있어요."
선크림,주르륵 흘러요 꼭흔들어쓰세요 가족들쓰기좋은 대용량썬크림 효과는 기대에 못미침
자세밴드,컴퓨터 앞에 앉아있으면 자세가 안좋아서 착용할려구요 착용하니깐 고개가 앞으로 나오는게 많이 좋아지더라구요 잘 사용해볼께요
자세밴드,이런거 성능에 대해서 의구심을 잘 품는데 얘는 좋네요
자세밴드,허리며 등이 굽고 그래서 한번 사용햐봤는데 나쁘지 않아요
선크림,허엿게되서 보기 불편하고 소량바르것을. 추천합니다
자세밴드,"기존에 쓰던게 금방 헐거워져서 나름 꼼꼼하게 비교해보고 사봤는데, 확실히 리뷰도 많고 평도 좋은 제품이라 그런지 전반적인 만듦새가 탄탄하네요. 가벼운 재질이라 답답하거나 땀도 안날듯한데, 착용했을 떄 잡아주는 느낌은 짱짱해서 꾸준히 착용하면 도움이 될듯 합니다. 안정감있게 지지해주는게 편하고 뒷부분 밴드 고정하는 곳도 튼튼해서 오래 쓸거 같네요 ㅎㅎ"
선크림,눈시림없고 땡김없어 요즘 너무 잘쓰고 있는 선크림이에요. 안방에 놓고 혼자 쓰다가 거실에 하나 더 두고 신랑이랑 같이 쓰려고 재주문했어요. 끈적거리고 하얗게 들뜨는게 싫어 선크림 안 바르는 신랑도 요건 로션같다며 아주 잘 바르고 있어요.^^
자세밴드,착용하면 쫙 땡겨주니깐 평소 자세가 얼마나 안좋은지 알수 있어요.. 조금씩 착용시간을 늘려가면 교정이 잘 될 꺼 같아요 판매자님도 친절하시고 배송도 빨랐어요 좋아요
자세밴드,잠 잘때 매일같이 새우잠을 자서 라운드 숄더가 심한편인걸 이번에 운동하면서 알게됐어요. ㅜㅡㅜ 운동도 중요한데 평소에 어깨를 펴고 다니는게 중요하다고 해가지고 무의식적으로라도 펴고 다니려고 구매했습니다. 어깨 완전 끝은 의식적으로 펴려고 해야하는데 허리랑 날개쪽이 펴지니까 자세가 좋아지는게 느껴져요. 전체적으로 밸런스있게 잡아주는 느낌입니다. 열심히 사용해 볼게요.
선크림,사계절 내내 꼬박 선크림 바르는 1인인데요 그래도 선크림 자외선차단제 유목민이거든요 그런데 요기저기 뒤적이다 평도 좋구 성분도 마음에들어 주문했는데 진짜 밀림이나 겉도는게 없고 촉촉함이 계속 유지되고 뜨거나 백탁현상이 전혀 없어서 마음에 쏙 들어요 이제 선크림 정착 해야겠어요 가격도 착해서 더 최고 ㅋㅋㅋ 추천드려요
자세밴드,제가 어깨가 굽어있어서 자세교정밴드를 구매해봤어요 착용했을때 어깨를 자연스럽게 뒤로 잡아줘서 구부정한 자세를 교정하는 데 너무 좋네요. M 사이즈라 남녀 모두 무난하게 사용할 수 있어서 가족모두 같이 사용해도 되니 실용적인거 같아요 밴드가 탄탄하면서도 부담스럽지 않아서 오래 착용해도 불편함이 없었어요. 옷 안에 착용할 수 있어 평상시에도 착용할수 있고 출근해서 일할때 착용해도 괜찮네요 너무 만족합니다
