text,label
유튜브로 명장면으로 알고있는 장면중하나인 연설 연상을 봤는데..시대를 앞서간 장면이었음..현재 시대에 너무 잘 어울리는 연설이어서 이게 40년도당시 만들어졌던 원작이 맞나 생각할정도..시간있으면 풀버전으로 봐야되겠다.,1
"이쁜 우에노주리, 식상한 스토리, 하지만 즐길만함 음악좋음",0
옛날코미디영화가 훨씬재밌다 연기도 그렇고,1
~하는 영화. ~인 영화. 라고덧글단놈들 다 알바네ㅡㅡ,0
좀그러네 사는데 열심히좀살생각을해야지...,1
미안하지만 나로선 이해할 수 없는 영화다. 잠만잤다.,0
재미없다.거지같다느니 1점준놈중 한국영화는 10점주는 M창,0
이 영화가 명작이라는 것에 대해 나는 절대 동의 못함.,0
뭉클했던 기억이.. 여운이 많이남는 영화.,1
알바쓴거 티난다 ..... 막장영화네,0
이게 왜 10점이 아닌지 모르겠다. 그음악...머리에 되뇌인다.,1
어색한 연기와 어색한 진행.. 그것까지도 사랑스럽게만드는 매력 ^^,1
흐릿한 흑백 스크린을 통해 느껴지는 인물들의 강렬한 열기와 끈적거리는 땀방울....,1
뜬금없는 대사 일본어식 어투 이런 건 왜 만드는지 만드는 이도 모르나? 이상한 걸?,0
"역사와 정치를 날카롭게 통찰하며 정통사극에 대한 갈증 해소, 주조연 가릴 것 없는 훌륭한 배우들 그중에서도 인간미와 카리스마를 넘나드는 유동근의 연기는 가히 압권이자 감동과 전율 그 자체. 기억에 남는 것이 아니라 가슴으로 남게 될 역대급 걸작의 탄생",1
신사동 영동극장.. 아 그립다. 지금도 마지막 삼판이 제니를 따라가던 그 길에 흐르던 음악을 가끔 읊조리는데...,1
말이필요없는영화 발상이돋보이는영화,1
참 좋은영화다. 느낀점 뿐만 아니라 라이언빙햄 매력있네,1
"처음으로 뒤를 돌아본 채플린,, 잔인하게 아름다운 영화,,",1
제목보니 겨울왕국 인기에 편승하려는 수작이 보이는구나. 원제는 전혀 다르구만 ㅉㅉ,0
2007년 상반기 최고의 가족영화라고 생각해요~,1
이런 영화!! 아주 충격적이고 없어져야할 영화!!! 작가의 패륜적 상상이 궁금???,0
평점 0점은 왜 안 되는거임?,0
왠만해선 다 보는데...보다보다 포기한 영화/여주인공 안문숙 닮았어,0
왕가위 대단하다2009.04.04,1
바스코는 그냥 장르자체가 틀렷다고봄. 쇼미더머니는 힙합을하는데지 락을하는데가 아니란말야. 그러면서 자기가 뭔 힙합만한데,0
"관우의 용맹함과 의로움을 나타낼 수 있는 부분이였으나.. 어설픈 러브라인이 망쳤고, 영화 한편으로 만들기엔 내용이 너무 짧다.",0
감독판을 보면 레전드급이라는 것을 알 수있다.,1
우리 친형이 전화왔었던기억이 정말 최고의 명작,1
성룡 앞에 1컷 뒤에 2컷 나오는게 다다. 이걸 영화라고... 포스터 보면 성룡 주연인데,0
이게 뭐지??...영화맞음??,0
"평점 높게 준 새끼들은 중2병 새끼들인가? 메세지도 모호하고 스토리도 중구난방인 이런 영화보고 8, 9점을 주다니 ㅋㅋ 평점 높게 준 새끼들 파이트 클럽이나 아메리칸 뷰티 같은 영화보고 이 영화 다시봐라 이따위 영화에 평점 높게준 자신이 부끄러질거다ㅋ",0
정말 ... 내눈이 잘못됬나? 잘못본거겠지 하며 눈을 의심케 하는 cg 당황 스럽네요...정말 어떻게 이럴수 있지,0
그냥 최악이다...그냥..최악..구역질나게 쉣이다...,0
응? 이게 뭐하자는 시나리온지요,0
태민이는 더빙까지 잘해요~ 영화 내용도 재미있고 영상도 예뻤어요 코알라 쟈니와 미란다 귀여워~,1
진짜 러닝타임 140분동안 긴장을 한시도 늦추지 못하고 본영화....ㄷㄷ,1
"1편에서 높이 올라갔다가, 갑자기 곤두박질 치니까 적응이 안된다",0
양xx은 눈도 낮은데 왜 결혼을 못 할까.,0
훈훈한가족드라마!!보는내내즐거워요~미소한가득♥,1
오프닝부터 엔딩까지 참 잘보았습니다ㅠㅠ 레이첼 맥아담스 너무 이쁩니다ㅠㅠㅠ 당분간 여운이 좀 갈듯하네요~ㅎ,1
진짜 오유분들..ㅠㅠ 자제좀 해주세요....,1
감명 깊을 듯도 했으나 뭔가가 부족했던 영화...머피 연기력은 최고ㅋㅋ,1
말이필요없네요. 연기 내용 연출 흠잡을데 없음,1
차분하게 스토리 따라가면 다 이해되는 영화.,1
생각없이 그냥 봤는데~~잼났어요~~ㅋ,1
안보면 안봤지 한번 본사람 드물듯...영화를 사랑하는입장에서 이영화는 정말 멋있고 여운이 진하게 남는영화..,1
생각보다 약하다. 그나마 액션은 좀 신경쓰려 한것 같으나 주인공이 너무 대역쓴 티가 많이 나서 감흥이 떨어진다.,0
적당한 점수 - 시간아깝다/ 아까운 내 인생,0
아직도 생각납니다.. 꼬맹이 적에 봤었는데도 문득 문득 그리워집니다..,1
아무리 B급이지만..킬링용으로도 아깝다...ㅠㅠ,0
내가 본 영화 중 최악개억지스토리 임창정 어색한 사투리 어이없는 반전같지도않은반전 걍 ...더이상할말도없다,0
이영화가왜그렇게대박났는지이해불가라평점조절차원에서,0
미국imdb평점 9점에 빛나는 명작,1
내가 뭘본거지? 으악! 최악의영화!,0
보는 내내 불쾌한 느낌을 지울 수 없었다.,0
한번보기 시작하면 절대 멈출수가 없다 그 정도로 긴장감이 넘치는 영화,1
그러하다 창문은 탈출구가 아니다,0
끝까지못봐서아쉬웠지만앞부분은정말좋았음ㅋ,1
유치하지만 나름 재미있었어요~ 예상치 못한 반전 뜨아~ㅋㅋ,1
진짜 한번을 안하네 한번을. 마지막엔 걍 끝나고,0
시간아까움. 공포영화판의 질을 떨어뜨린다. 혹시 시간버리고 싶으신다면 강추.,0
"시즌1은 너무 졸속으로 진행한 흔적이 보인다 백청강,셰인,이태권 잊혀진다",0
노땅들이 좋아할 영화네요 ㅋㅋ,0
이 영화만큼은 마지막 장면을 볼때마다 살이 떨려..하우어성은 이 영화에 인생을 다 털어넣은 듯. 이 이후로는 뚜렷한게 없네,1
강추다 다니엘헤니넘멋쮜게나오는군욧ㅁ,1
3은 언제 나오죠 몇년이 지났는데,1
지금 새벽1시 엠비씨에게 저주를 퍼붓는다 호불호가 갈리는 영화는 하나다 알바 vs 진짜 영화본사람,0
시종일관 긴장의 끈을 놓지 않으면서도 탄탄한 스토리가 받혀준 웰메이드영화! 개인적으로 김윤석 출연작 중 가장 돋보이는 연기력이라 생각 듦. 장준환감독님 영화 좀 자주 찍어주세요..,1
너무하네 영화 초기 평점알바들;;,0
클론에게 심어진 인공적인 기억이 잔잔하게 가슴을 후벼파는영화... 진짜 기억이 아니라 조작된 기억을 믿고 살아오다가 그것이 조작이었음을 알게 된 가짜 샘벨이 느끼는 공허함이 무엇보다도 와닿았던 영화,1
몇몇 탁월한 이미지와 웅장한 음악. 단지 그것뿐,0
분쟁과 마음의 벽의 관계를 드라마적으로 잘 풀어낸 것 같다. 레몬주스 먹고 싶다.,1
개봉 당시 흥행 대실패 했음. 개봉하자 마자 3류극장으로 직행.. 내용도 지루하고,0
신인감독답지않은 영화! 재밌게봤습니다.,1
배경음악 음산한 영상. 공포영화 지존급 벌레소리와 벌레떼 ㅋㅋ다시 보고 싶다.,1
뭔소리 하려는 건지 당최 모르겠음 다운받아봐도 돈아까울 영화,0
This is an unconvincing C movie. This movie does not know what it is..,0
보는 내내 지루하다가. 막판 썩창때매 놀랫다 ㅡㅡ 구더기 우왕 ㅋ굳ㅋ,0
절대 후회안합니다 저는ㅋㅋㅋㅋㅋ,1
람보는 1편이 진리. 2편부턴 걍 상업성을 목적으로 만든 액션 아류작이라고 보면된다,0
깜깜한 터널속의 약간은 은은한 조명등을 받으면서 느끼는 아늑함이 다가왔다.,1
짐캐리가 아니면 99%모자르는영화,1
블록버스터와 같은 상업영화 속에 우리의 영혼을 일깨워줄 작품성 있는 영화가 오랜만에 등장. 상업영화 속에 묻혀버리지는 않을지 안타깝다. 개봉관이 너무 적네요.,1
정말....말이 없게 만드는 영화. 영화의 어디서부터 설계가 잘못된것인가.,0
너무재밌음 갠적으로 최사보다더,1
공포가 6.0넘길래 혹시나해서봤는데시간아깝다 그냥 드라마보다 못한듯하다공포도 아니고 다큐도아니고 완전어정쩡;;영화라는게 안믿긴다,0
생각보다 좋았던 영화..^^,1
제 취향은 아닌듯... 그냥 그저그런 음식영화?,0
아빠라는 사람 초 답답;;;;;;;;;;;;;;;;,0
반전만 좋으면 영화가 구제되는가? 난 아니라고 본다..,0
코엘료사마의 원작을 훼손하였어.,0
꺄악 빈 디젤 멋있어ㅋㅋㅋ 영화 진짜 최고!,1
평가를 할려면 공정하게 해야죠 원작하고 비교만 하니까 영화가 까이는군요 원작없이 그데로 영화를 평가한다면 실패작은 아니죠 워낙 왕조현과 장국영의 그늘이 커서 그렇지 유역비와 여소군 고천락 연기 그럭저럭 봐줄만 합니다.유역비 미모역시 딸리지않아요,1
시리즈중 가장 파워풀한 액션신을 담고있습니다..,1
선택에 대해 진지하게 생각을 하게 해준 영화!만약 사람이 시간을 거슬러 갈수 있었더라면 내 돈과 내 시간을 낭비하지 않았을 것이다. 평점 1점도 아까운 영화,0
별5개 10점만점~!!!! 하루찡 시즈쿠찡 둘다 너무 귀여웡 ♥♥♥♥♥♥,1
3일동안 정주행했는데 노래도 좋고 짱이엿음ㅠㅠㅠ,1
책과는 분명히 다른시선. 괜찮네요,1
"스플래쉬나,아폴로13의감독 론 하워드가 감독한 분노의역류에는,발가락의때에도,미치지 못한다.당연히 다빈치 코드 씨리즈를 감독할 일도 없었지.감동을 위한 감동,억지감동만이 존재할 뿐이다.졸작은 아닐지라도,아류에 지나지 않음.근본적으로,높이 평가받기 어려움",0
와 진짜 이런거안쓰는데 노잼이다.,0
스토리도 스토리지만 그래픽이 좆쩜;;;,1
왠지모르게 송승헌만 나오면 리모컨에 손이 가는 이유는 뭘까..,0
초호화 종합선물세트는 아류일지라도 언제나 매력적임,1
"말이 적을 뿐, 행동으로 다 보여주는구만 뭐가 어려워 .",0
사실은 이 영화 왜 한국에서 개봉인지 이해 못해요. 중국 역사나 문화 잘 모르면 이해하기 좀 어렵네요. 제가 좋아해요. 마음 편하게 만들수 있어서 너무 좋아요~,1
정말 어떤 이야기가 필요 없는 감동을 주는 이야기 ...,1
나 이거 작년에 본거같은데? 왜 지금 개봉?근데 진짜 시리즈중 최악이다.2보고 재밌어서 봤는데,0
일본은 어떻게 이런 절절한 첫사랑을 잘그려내는지...겨울에 러브레터가 떠오른다면 여름엔 이 작품이 무조건 생각날 것 같다,1
모성애에 대한 가장 원초적인 해석,1
쓰레기...정말 연기 개발연기에 내용도 없고,0
배우의연기는 괜찮았는데 스토리가 너무뻔해서 잠이왔네요 결국 졸면서 봤습니다,0
이렇게 작위적인 설정과 대사들로도 영화 만들 수 있구나.. 한국영화계 쯧쯧,0
끼워 맞추기식 뻔한 범죄스릴러,0
우주전쟁1이랑 엄청 다르네 cg도 엉망이고 ㅡ ㅡ,0
Kjy 보고싶다. 너를 알기전 사랑을 몰랐을때 이영화를 봤을때 아무런 느낌이없었는데.. 너가 떠나고 이영화를 다시봤을때. 내 인생 최고의 영화를 네가 선물해 줬다. 고맙다.덕분에 내가 더 성숙해 졌고 너는 내 기억속에서 평생 잊을 수 없을 것 같다,1
다케우치 유코에 반에서 나오는건 다 찾아봤네여,1
일본이라는 부정적인시선만 뺀다면 정말 좋은 영화,1
이거 꿀잼이었는데 평점이 없네?,1
저런애들이 할바엔 내가하겠다,0
잼나게 보셨다는 분들은 감성이 저보다 백만배 뛰어나신듯?,0
그리고 전 영화를 사랑하게 되었습니다.,1
음악들이 다 너무 좋고 내용도 제 취향이여서 너무 맘에들어요♥,1
스크린으로 옮겨놓은 인공적인 테마파크.,0
갑자기 정유미는 어디로 증발한것인가?,0
You're Gonna Be The One That Saves Me,1
진실이 밝혀졌다면..답답함이 사라졌을텐데.그러면 재미 없는 영화였겠지,1
이런 쓰레기를 보느니 그시간에 잠을 자는게 낫다. 정말 어이없는 영화,0
아마도 내가 본 시걸의 마지막영화가 될것같다,0
130분이 길게느껴지지않는 최고의 액션스릴러,1
가벼운 로맨틱 코메디. 프렌치 키스처럼 깊이는 없다.,0
"멋지다, 전설이 된 더뱅뱅클럽에 무한한 오마쥬를 던진다~ 영원하라~!!",1
이영화 무삭제판에서 하지원이 잠깐나오는데...주의하셔서 보신분 계시나요 ?,1
공포에서 SF로 넘어갔네.. 그래도 재밌던데? 딴 분들 뭘 더 바라는거요?,1
말이 필요없음 최고임ㅋㅋㅋㅋ,1
이거 1편을 안 보고 제시카 알바때문에 본 영환데 대체 무슨 내용인가요 이거...시작은 엄청 장황했는데 허무해,0
차라리 세일러문 극장판이나 나오지ㅜㅜ지루함.. 중간에 나와버림..,0
좀비와 통닭의 어설픈 한국식 조화ㅋ,0
전작보단 재미없었던건 인정하는데 7점대는 좀 아닌것같다 한 8점대가 적당하지,1
지루하다 그 한니발이 맞나?,0
똥인지 오줌인지 꼭 찍어 먹어봐야 알수 있는건 아니지말입니다...,0
이걸 본다고? 걍 화장실가서 볼일보고 그거 멍하니 쳐다보는게 더이득,0
네이버 평점 역시 가끔은 무시할필요가....,1
범죄를 저지른 여자의 성공스토리 무엇을 전달하기위한 영화인지 이해 불가,0
사랑이라고 부르면 사랑일테지~,0
진짜재밋세봣지 기존엑스맨보다 훨재밋어,1
솔직히 식상하고 요새 게스트빨로 할려고하는데 뜨거운 물 붓기일뿐더러 유치하다.. 대프로젝트가 개발돼야되 대책이 필요함 진짜,0
마운틴을 보고.. 너무기대를했나?? 난 별로다..,0
개연성에 있어서 상당히 불친절한 영화지만 이야기를 풀어나가는 데에 있어서 상당한 흡입력을 가지고있어서 몰입하고봤다. 상당히 독특하고 흥미진진함 .. 더불어 신비로운 OST도 꽤 인상깊었다. 마치 더 씽의 신비로운 버전이랄까. 간만에 수작 SF를 봤다.,1
사상 최악의 쓰레기 중 하나.스토리 재미없고 배우 연기도 엉망이고케릭터성도 없고 긴장감도 없고컴퓨터 그래픽도 어색하고영화재목은 미이라인데 정작 움직이는 미라는 하나뿐이고이거 보고 10년전에 만든 쥬라기공원 봤는데 더 재미있더라,0
공포와 코메디를 어정쩡 하게 결합... 결과는 비극적이었다.,0
장미정사건이 놀라운게 아니고 한국외교부의 대처가 정말 놀라웠다. 예전에 추적60분이나 그것이 알고싶다를 통해 알고있던 사건이지만 한국 대사관의 문제는 하루이틀일이 아니다. 물론 한국이 외국에서 힘이없는건 알지만 노력자체가 없다는건 정말 한심한 일이다,1
이 영화가 왜 죽기전에 봐야할 영화100선에 빠져있는지 의심스럽다,1
"아니 이건 뭐지 ㅋㅋ 그당시에는 파격적일 수는 있었겠네. 쌈마이 느낌 물씬 나는 C급 다큐멘터리 영화. 여러 에피소드가 있는데 이문식, 안내상, 송강호의 발견은 신기. 근데 주연 맡았던 애들은 전부 진짜 양아치 일반인임?",0
학교에서 봤는데 점말감동받았다이겼을때정말좋았당~~^^,1
최악의 영화 아 미친 골초 영화임,0
일본의 경제력.독일의 기술력에 맞서 싸우는 미국 형사..,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ네이버 평점도 믿을수있데 ㅋㅋㅋ,0
모크슈라 .. 정말 마음이 아프네요,1
잡스의 일생에 잘 알았던 사람들에게는 시시할 수 있겠지만 난 잡스를 잘 몰랐는데 굉장히 잘 봤다. 자신의 신념을 믿고 세상을 변화시키는 것. 이 영화에서 말하고 싶었던 것 아닐까?,1
레슬리 닐슨 패러디영화들 중 단연 최고,1
제 때 봤어야 할 것을 십수년이 지난 지금에서야 보게되었다는게.....,1
놀란빠들 왜캐많냐ㅡㅡ 재미를 떠나서 기분 더러워지는 영화,0
이미군대면서군대가아니라고우기는웃긴영화.미국영활그대로배낀.,0
지루하다.....재미없다....40분 견뎠으면 마니 견뎌낸거 같다 절대 보지마라,0
내역시 평점 이럴줄알았다 ... 좀아닌듯 이건 ...진짜,0
이 영화는 개쩌는 영화니까 그렇게 알고 걍 보면 된다 알았냐?,1
감동재미?좋은영화?여배우도?이뻐~,1
이영화는 광신도들에 의해 평점이 조작되고 있다.,1
어리지만 대처를 잘하는것같음 부모도 우리나라랑은 다르게 열린사고 인것같고 연기도 다들잘하고 재밋음,1
이런 영화를 웃으며 봤던 사람이 법원의 솜망방이 처벌을 비판할수 있는 자격이 있을까. 코미디 영화 라는데 보면 볼수록 피가 꺼꾸로 솟는 요상한 영화. 애들 삥이나 뜻고 다니는 양아치새퀴들은 보고 재밌게 느낄수도 있겠지만 ... 범죄미화 역겹다.,0
"문소리의 연기, 촬영이 정말 좋았다!",1
오랜만에 봤는대 이건 뭔가요 이거 몇부작이길래 이리 빙빙돌리시건지 적당히좀 하시져 끝물에 넘 이미지 않조아졌어요,0
스릴이나 몰입도는 봐줄만 한데 대원들을 동물 이름으로 부른다거나 너무 극적인 요소로 봉합하는 느낌.. 유치하기 짝이 없었음,0
이거 극장에서 봤었는데ㅡㅡ 정말 뛰쳐나오고 싶었다,0
가와바타야스나리- 眠れる美女,0
고뇌하는 영웅의 모습을 보여준다.. 하지만 여전히 멋지고 놀라운 아이언맨!,1
졸립다.첫 에피소드 끝날때 필름 끊어지는 사고난줄 알았다.,0
영화정말 잘 만들었네요.개인적으로6학년담임이 쓰레기네,1
만들지 말았어야 할 영화 중 하나,0
연기연습하냐? 어이가없어서 ...,0
남녀노소 모두를 충족시킬수 있는 영화. 픽사는 역시 최고다.,1
정말 극장에서 ...숨막히게 멋지게 본기억... 그후 티비로 다섯번더봄 빈디젤 역시..,1
별 하나도 아깝다.. 원작에서는 마지막 결말이 너무 급하게 난듯 한거 외엔 참 재미있었는데.. 이건 뭐냐..차라리 원작을 보기를,0
V와 더블어 유년기때 본 잊지못할 드라마!,1
지금 보면 손발 오그라드는 장면이 많지만 그 당시 순수했던 시절에서나 나올 수 있는 거다. 빼어난 주제가만으로도 이 영화의 가치가 있다.,1
그것을 만들면 그가 올것이다. 멋지네요~ 큰재미가 아닌 큰감동이 있었어요~ㅜ,1
말이 필요없다. 저 당시 두얼굴의 사나이 헐크의 충격은 쇼킹 그 자체였으니~,1
그당시 아주 새로운 시도였지. 6이뭐냐,1
파라노말 시리즈 중 가장 명작. 쉴새없이 놀람ㄷㄷㄷ 하지만 여전히 초반은 지루함. 지루함을 견뎌내면 롤러코스터 시작,1
음악이 정말 인기를 끌었던영화,1
보조금에 대한 안좋은 기사가 있네요..,0
누구나 다 아는 마지막15분을 위해 버린 내 80분,0
"지속적인 살인과 폭력을 보며 사이코패스가 되는 아이의 컨셉은 좋았지만, 전형적인 소재에 공포도 흥미도 없는 영화",0
스타일리쉬 한 영상...하지만 그게 다인 영화,0
원래 원작에서는 두 왕자의 더블불륜에다 라푼젤은 깔려죽는다고 합니다. 이정도면 많이 순화시킨듯하네요. 디지니의 이미지만을 생각하고 보면 뒷통수 맞은 기분이 들겠지만 원작을 알고 본 사람들은 재밌게 볼수 있어요.,1
"스토리,감독,연기 다 꽝이요.ㅎ",0
