검사일,라인,교대조,내용량_ml,당도_brix,라인속도_bpm,원료온도_C,숙련도_년,설비알람수,불량수
2025-01-24,C,주간,495.2,11.45,314.6,29.6,3.3,1,3
2025-01-24,B,야간,360.6,11.77,301.2,29.1,3.1,5,3
2025-01-25,B,주간,501.1,10.66,321.9,21.6,8.6,2,2
2025-01-25,A,야간,497.7,11.0,286.9,25.6,4.6,2,3
2025-01-27,C,주간,500.9,,307.1,26.5,9.7,1,2
2025-01-28,C,주간,324.3,10.73,318.4,20.7,12.6,0,2
2025-01-28,A,야간,349.9,10.42,272.2,21.8,4.9,3,1
2025-01-28,C,주간,493.2,11.29,334.6,24.4,18.0,3,1
2025-01-28,A,야간,500.5,10.81,292.1,24.5,12.5,1,0
2025-01-28,C,야간,500.8,10.93,324.9,24.3,5.6,2,6
2025-01-29,B,주간,501.4,10.61,295.4,23.5,3.8,1,4
2025-01-30,B,야간,498.2,10.72,298.4,21.4,1.5,2,5
2025-01-31,A,야간,502.1,11.46,300.4,26.1,10.7,6,3
2025-01-31,B,야간,506.5,10.91,312.6,21.4,18.0,1,4
2025-01-31,C,주간,499.2,10.39,309.8,21.1,1.9,1,1
2025-02-01,A,주간,501.2,11.08,274.5,22.6,1.8,2,3
2025-02-02,A,주간,502.6,10.39,282.6,21.9,8.3,1,3
2025-02-02,A,주간,504.7,11.04,300.6,23.0,5.0,4,1
2025-02-02,A,주간,501.6,10.59,286.1,19.8,5.8,1,2
2025-02-05,C,주간,498.2,11.09,338.2,25.1,5.4,2,8
2025-02-06,A,야간,505.7,11.6,256.0,27.3,2.0,4,4
2025-02-06,A,야간,499.0,11.22,275.6,26.0,7.4,1,0
2025-02-06,B,주간,503.4,11.04,321.3,23.5,7.0,2,2
2025-02-09,B,주간,494.8,10.75,279.3,23.8,6.7,3,3
2025-02-09,A,야간,502.7,11.21,281.4,25.2,2.9,4,1
2025-02-09,B,주간,499.5,11.37,300.4,26.5,7.4,2,5
2025-02-10,C,야간,497.0,10.78,315.3,22.3,18.0,2,1
2025-02-10,B,야간,498.3,11.54,283.2,25.5,2.9,2,4
2025-02-12,B,야간,505.1,11.13,299.4,24.9,10.3,1,5
2025-02-13,A,야간,506.1,11.57,298.9,26.4,8.5,3,4
2025-02-14,C,야간,494.7,10.46,306.9,18.0,9.2,4,6
2025-02-14,B,주간,499.1,11.13,314.7,25.4,6.0,2,2
2025-02-15,C,주간,501.0,11.24,319.2,23.2,1.8,2,3
2025-02-15,B,주간,500.0,10.69,320.3,21.8,3.4,1,6
2025-02-17,A,주간,500.3,10.88,284.6,22.1,3.3,1,0
2025-02-18,B,야간,504.1,11.09,301.2,26.0,0.9,2,2
2025-02-18,A,주간,501.9,11.83,282.0,26.9,6.6,1,1
2025-02-19,C,야간,499.5,10.82,300.3,23.9,13.7,2,3
2025-02-21,B,주간,499.0,10.81,298.0,22.5,8.1,2,1
2025-02-22,B,주간,500.5,11.28,313.6,24.1,9.3,1,4
2025-02-23,B,주간,502.0,10.9,314.1,24.4,5.8,3,4
2025-02-24,C,주간,498.0,11.19,312.2,25.2,8.8,3,2
2025-02-24,C,야간,496.5,10.65,330.8,22.5,6.5,2,7
2025-02-25,C,야간,500.4,10.55,339.4,19.9,2.5,3,10
2025-02-26,B,야간,499.2,11.39,294.8,27.6,3.9,1,3
2025-02-27,B,주간,500.4,10.68,288.6,20.8,5.5,3,2
2025-02-27,C,주간,500.1,11.33,281.0,24.0,8.6,1,1
2025-03-01,B,주간,500.2,11.37,292.7,24.3,2.8,2,3
2025-03-01,B,야간,503.2,10.62,305.9,19.2,0.5,3,6
2025-03-01,C,주간,335.1,10.89,313.9,24.8,9.7,3,3
2025-03-04,B,주간,497.5,11.26,313.9,25.9,8.1,0,4
2025-03-05,B,주간,499.2,11.34,285.2,23.9,7.7,1,2
2025-03-07,B,주간,502.2,11.5,285.1,30.0,17.0,2,2
2025-03-08,B,주간,498.3,10.64,306.8,20.9,6.9,2,4
2025-03-09,C,주간,499.5,10.78,293.6,22.8,3.2,2,3
2025-03-09,A,야간,503.7,10.97,298.4,22.5,1.7,2,7
2025-03-10,A,야간,497.5,11.68,287.7,27.8,7.6,2,2
2025-03-13,B,주간,497.1,10.98,309.9,22.2,8.7,2,4
2025-03-15,B,야간,499.5,11.12,321.2,26.1,8.3,2,2
2025-03-17,A,주간,501.2,11.58,315.5,28.2,4.5,2,5
2025-03-17,C,야간,499.1,10.61,309.3,24.4,9.9,1,5
2025-03-17,A,야간,499.2,10.98,267.8,21.2,2.6,1,1
2025-03-18,C,주간,498.7,11.64,307.1,27.5,8.8,2,2
2025-03-18,A,야간,501.6,10.07,260.0,17.8,5.8,2,1
2025-03-19,A,주간,499.6,10.87,292.8,23.5,2.3,0,4
2025-03-19,B,야간,501.0,10.89,306.4,21.4,5.5,3,3
2025-03-19,C,야간,498.4,11.29,324.6,26.7,11.8,3,3
2025-03-19,B,주간,499.5,10.74,298.5,23.5,13.5,3,1
2025-03-20,B,주간,502.8,10.8,284.2,19.5,4.7,3,3
2025-03-20,A,주간,494.6,10.99,285.0,24.9,6.0,0,4
2025-03-23,C,주간,503.2,10.47,291.8,22.7,8.8,2,2
2025-03-23,A,야간,498.6,10.51,277.9,19.7,0.8,3,3
2025-03-23,A,주간,500.2,10.99,296.0,24.8,9.9,1,2
2025-03-24,C,야간,497.8,10.27,304.1,21.0,6.2,1,7
2025-03-24,A,주간,496.5,10.76,286.1,24.1,16.3,2,2
2025-03-24,C,주간,498.1,11.06,326.0,25.9,4.5,1,4
2025-03-24,A,주간,502.2,10.61,299.0,22.2,6.6,5,2
2025-03-24,C,야간,502.7,10.67,312.8,22.9,2.3,2,4
2025-03-25,A,야간,499.7,10.99,295.4,25.3,1.9,2,5
2025-03-27,B,야간,504.9,10.56,317.2,20.0,9.0,2,2
2025-03-28,C,주간,501.8,11.14,309.4,27.2,5.5,1,2
2025-03-28,A,주간,502.7,11.09,308.7,23.9,7.2,2,4
2025-03-28,C,주간,498.7,11.36,313.6,27.2,4.1,2,2
2025-03-29,C,야간,496.0,10.89,306.6,22.8,5.4,3,3
2025-03-30,B,주간,500.3,11.07,291.8,25.2,12.8,2,3
2025-04-01,C,주간,499.6,10.71,293.7,21.2,1.8,1,2
2025-04-01,C,주간,496.2,11.06,325.8,25.0,4.0,1,7
2025-04-01,B,야간,500.7,10.5,279.2,19.6,2.8,4,5
2025-04-02,A,야간,500.2,10.83,304.2,20.6,2.2,3,5
2025-04-02,C,주간,549.1,11.3,287.1,24.7,11.0,2,2
2025-04-03,A,주간,498.5,11.0,280.7,24.5,11.4,1,3
2025-04-03,B,주간,498.8,10.37,299.7,22.3,9.2,1,1
2025-04-04,A,주간,501.9,10.89,290.0,24.4,6.2,0,2
2025-04-05,A,주간,501.3,10.86,288.1,21.7,4.2,2,7
2025-04-05,C,주간,497.1,11.51,327.6,26.0,4.8,1,8
2025-04-06,A,야간,501.8,11.3,273.0,26.6,8.3,1,1
2025-04-08,B,주간,496.4,10.36,321.6,21.5,5.3,1,3
2025-04-09,B,주간,501.0,10.96,280.7,25.1,3.6,5,0
2025-04-10,A,야간,496.0,11.07,288.3,22.8,2.5,3,5
2025-04-12,B,주간,500.7,11.31,301.9,27.1,4.8,1,4
2025-04-13,B,주간,499.4,10.95,288.7,23.2,3.4,2,2
2025-04-13,B,야간,500.2,10.91,283.0,24.3,5.7,4,1
2025-04-14,A,주간,501.4,11.27,267.9,24.3,2.7,4,0
2025-04-14,C,주간,498.2,11.18,299.2,25.1,5.2,2,4
2025-04-15,A,주간,497.8,10.65,302.1,21.6,2.7,1,3
2025-04-16,A,주간,502.7,11.13,290.3,25.2,9.5,2,0
2025-04-17,B,야간,504.2,11.31,294.9,28.2,8.1,2,3
2025-04-17,A,주간,501.2,10.59,276.9,21.2,3.6,0,1
2025-04-18,B,주간,501.2,11.17,292.8,28.0,18.0,5,0
2025-04-18,A,야간,495.7,10.83,295.8,24.2,4.4,1,5
2025-04-18,C,주간,499.4,11.04,320.0,24.0,15.3,0,1
2025-04-19,B,주간,500.6,11.16,285.3,22.6,4.7,2,4
2025-04-19,C,주간,501.7,10.93,312.8,23.7,8.1,3,2
2025-04-20,B,야간,501.2,11.22,314.3,23.3,7.7,4,2
2025-04-21,A,주간,502.3,11.11,288.6,24.9,8.2,2,2
2025-04-22,C,야간,494.9,10.84,319.9,25.5,7.0,1,6
2025-04-23,B,주간,496.7,11.33,287.7,26.9,5.2,0,1
2025-04-23,B,야간,502.3,10.83,321.2,22.2,6.4,3,6
2025-04-24,C,주간,506.2,11.18,305.4,23.5,4.8,1,2
2025-04-25,B,야간,500.4,11.09,307.0,24.7,10.0,4,3
2025-04-25,C,야간,497.1,11.11,342.3,23.3,13.0,3,6
2025-04-25,C,야간,500.3,10.93,321.9,23.6,1.2,2,3
2025-04-25,C,주간,500.2,11.0,336.2,22.9,4.8,3,1
2025-04-26,A,야간,499.2,10.85,300.1,25.8,1.3,1,5
2025-04-26,B,주간,503.5,11.11,278.8,25.3,3.7,1,1
2025-04-27,B,주간,498.3,10.5,306.2,23.9,6.6,2,3
2025-04-28,A,야간,496.1,11.25,284.7,24.7,1.5,1,5
2025-04-28,C,야간,499.1,11.21,337.3,25.4,1.4,1,11
2025-04-28,B,주간,502.5,10.97,304.7,23.7,4.2,1,4
2025-04-28,B,야간,501.7,10.76,297.8,22.7,6.1,4,1
2025-04-28,B,주간,502.4,10.19,304.7,17.7,7.7,3,4
2025-04-29,C,주간,497.2,11.3,340.1,24.7,15.6,1,3
2025-04-30,A,야간,498.9,10.77,301.2,23.4,7.2,3,2
2025-04-30,C,주간,499.2,10.83,313.4,23.7,8.3,3,2
2025-05-01,B,주간,502.1,10.75,289.8,21.7,9.2,2,1
2025-05-02,B,주간,503.3,10.85,294.9,23.9,9.3,0,3
2025-05-04,C,야간,496.8,10.52,336.0,22.1,5.5,0,13
2025-05-05,C,야간,500.2,11.02,306.7,25.0,18.0,5,1
2025-05-07,A,주간,502.4,10.36,290.0,20.4,6.1,1,1
2025-05-09,C,야간,496.4,11.02,322.2,22.7,4.9,3,6
2025-05-10,C,주간,497.7,10.38,316.4,22.4,4.3,4,5
2025-05-11,C,주간,496.1,10.39,318.7,22.2,17.0,1,1
2025-05-11,C,주간,497.8,11.34,333.0,24.4,7.5,3,3
2025-05-13,A,주간,498.8,10.68,311.3,23.6,4.8,0,4
2025-05-14,B,주간,501.9,11.37,304.2,26.6,11.7,0,2
2025-05-16,B,야간,502.5,11.15,273.6,26.6,10.4,3,2
2025-05-16,A,주간,494.9,11.15,281.1,24.6,3.0,0,3
2025-05-17,B,주간,501.1,10.56,347.2,21.0,2.1,3,12
2025-05-18,B,주간,498.5,11.39,313.0,25.6,18.0,5,0
2025-05-19,B,야간,494.1,11.09,325.7,22.5,0.9,2,11
2025-05-19,A,주간,503.4,10.68,269.8,20.7,8.8,2,3
2025-05-19,A,야간,498.1,11.34,292.0,25.7,0.5,6,5
2025-05-19,B,야간,501.0,11.18,303.9,24.0,0.5,4,4
2025-05-20,C,주간,498.4,11.26,315.8,27.6,5.1,3,3
2025-05-20,B,야간,501.5,10.57,283.4,23.2,7.3,1,4
2025-05-21,A,야간,507.7,10.57,256.6,19.9,0.5,1,3
2025-05-21,B,야간,493.7,10.6,297.7,22.5,2.5,0,3
2025-05-22,B,야간,500.7,,296.1,22.5,7.9,5,1
2025-05-22,B,야간,500.6,11.4,283.4,26.2,3.8,5,2
2025-05-22,A,야간,501.4,10.7,279.0,20.9,15.2,1,0
2025-05-25,A,주간,501.0,10.14,287.3,20.8,9.4,2,2
2025-05-26,B,야간,497.9,11.02,308.3,26.8,0.8,4,6
2025-05-26,C,주간,502.6,10.99,332.1,26.5,7.6,2,2
2025-05-27,B,주간,502.0,10.95,309.8,22.1,9.9,4,3
2025-05-28,B,주간,501.7,11.08,303.7,24.3,11.0,2,1
2025-05-28,A,주간,499.7,10.66,290.0,22.3,3.8,2,2
2025-05-29,B,야간,496.1,11.67,306.9,26.9,7.1,2,6
2025-05-29,C,주간,499.2,10.49,323.9,22.6,8.8,1,4
2025-05-29,C,야간,493.5,10.95,334.9,23.6,4.1,2,8
2025-05-30,B,야간,499.1,10.61,307.3,20.3,11.3,3,0
2025-05-31,B,야간,500.6,10.54,304.7,23.9,2.5,0,11
2025-06-01,C,주간,497.3,10.9,334.0,24.6,2.9,2,5
2025-06-01,C,야간,494.6,11.14,314.5,24.1,0.8,5,2
2025-06-02,A,주간,503.3,11.44,303.7,23.5,4.4,4,1
2025-06-03,B,주간,497.9,10.87,288.2,25.2,6.3,3,2
2025-06-04,C,주간,496.0,10.76,333.0,19.8,4.1,5,6
2025-06-04,C,야간,496.5,11.2,316.6,22.7,3.3,0,8
2025-06-05,A,주간,502.4,10.84,293.6,22.3,3.5,2,3
2025-06-06,C,주간,501.0,10.74,325.9,22.4,7.0,1,1
2025-06-06,B,야간,502.8,11.03,272.6,24.5,2.8,3,4
2025-06-09,B,주간,501.3,11.26,298.6,26.5,6.1,0,5
2025-06-09,A,야간,499.9,10.35,275.0,20.6,8.9,3,3
2025-06-10,A,야간,502.1,11.06,273.7,23.7,17.2,2,2
2025-06-10,B,야간,507.0,11.13,293.0,22.5,2.1,1,4
2025-06-11,B,주간,498.6,11.12,303.3,24.8,5.0,5,4
2025-06-12,A,야간,501.7,10.78,309.3,22.8,2.3,0,8
2025-06-13,C,주간,497.9,10.52,302.4,21.8,6.9,0,3
2025-06-15,B,주간,501.4,,279.9,22.6,12.7,1,2
2025-06-15,C,주간,502.3,11.2,299.0,25.9,4.7,0,3
2025-06-16,B,주간,506.9,11.25,271.0,26.7,5.1,2,2
2025-06-17,A,주간,498.9,11.34,287.9,25.9,3.6,4,1
2025-06-17,B,야간,500.7,10.41,301.2,18.7,6.6,2,1
2025-06-17,B,야간,310.7,11.15,305.2,26.0,2.3,5,2
2025-06-18,B,주간,501.0,10.47,316.5,20.8,9.6,3,6
2025-06-19,A,주간,500.1,11.06,288.1,24.3,10.4,1,2
2025-06-21,A,주간,501.9,10.38,292.3,20.6,7.1,2,3
2025-06-22,C,야간,556.2,10.65,314.1,24.7,1.9,2,5
2025-06-22,C,야간,501.3,11.2,310.6,25.0,4.3,2,10
2025-06-23,C,주간,502.7,11.75,338.1,27.9,3.7,1,5
2025-06-23,C,주간,499.0,10.25,300.2,19.9,6.8,0,3
2025-06-23,A,야간,508.6,11.43,301.5,26.2,1.5,3,4
2025-06-24,B,야간,501.7,10.83,290.2,22.4,3.0,2,6
2025-06-24,C,주간,499.3,11.05,328.6,25.5,6.8,2,4
2025-06-25,C,야간,501.5,,317.4,27.7,3.5,3,5
2025-06-25,C,주간,498.0,11.09,302.2,24.6,1.9,0,3
2025-06-26,C,야간,496.4,11.6,317.5,24.6,9.1,4,1
2025-06-26,B,주간,503.1,11.36,319.5,24.9,11.6,4,3
2025-06-26,A,주간,500.4,11.09,280.1,25.0,4.5,2,2
2025-06-27,C,주간,499.8,10.78,310.3,22.0,2.3,0,3
2025-06-27,C,야간,499.2,11.32,306.8,24.7,6.1,1,9
2025-06-27,B,야간,494.3,10.69,316.8,22.2,5.0,4,4
2025-06-28,A,주간,503.0,11.55,290.3,28.5,5.1,0,2
2025-06-28,C,야간,502.3,11.22,300.0,26.1,7.4,4,1
2025-06-29,A,야간,502.3,10.76,279.0,21.6,2.9,1,2
2025-06-29,A,야간,498.4,10.81,267.5,24.1,4.8,2,2
2025-07-01,B,야간,503.7,11.27,321.9,26.6,10.0,7,4
2025-07-01,B,주간,496.9,10.62,277.7,20.9,2.4,2,1
2025-07-01,A,야간,502.0,11.66,284.2,28.9,6.9,2,2
2025-07-02,A,주간,505.0,11.24,283.2,24.9,2.3,1,1
2025-07-03,A,야간,499.2,11.19,294.8,26.0,9.9,4,1
2025-07-04,A,야간,501.4,10.54,288.8,24.0,5.4,3,1
2025-07-05,B,주간,499.8,10.9,318.0,25.5,9.9,1,7
2025-07-07,B,야간,500.8,10.78,312.7,23.3,2.9,2,5
2025-07-07,C,주간,356.6,10.4,312.0,21.1,9.1,3,5
2025-07-08,B,야간,499.2,11.23,311.1,25.5,4.8,0,4
2025-07-09,A,주간,501.8,11.35,266.5,23.9,11.7,0,0
2025-07-09,C,주간,497.4,11.27,319.4,26.1,3.6,5,6
2025-07-09,B,야간,504.4,11.28,303.4,24.9,6.3,4,8
2025-07-10,B,야간,498.4,10.55,308.9,22.0,1.2,0,5
2025-07-10,B,주간,502.6,10.91,314.4,22.9,10.0,5,4
2025-07-12,A,야간,503.0,10.92,289.3,23.6,5.4,2,1
2025-07-12,C,야간,491.0,11.11,341.2,25.4,1.3,3,8
2025-07-12,A,주간,498.3,10.82,291.3,21.8,6.4,0,2
2025-07-13,C,주간,348.3,11.23,306.4,25.6,3.0,1,2
2025-07-13,B,주간,497.4,11.09,292.6,22.9,16.0,1,3
2025-07-14,C,주간,500.9,10.84,325.3,21.0,3.6,2,6
2025-07-16,C,야간,499.9,10.99,295.0,24.1,9.7,2,0
2025-07-17,B,야간,498.7,11.26,299.3,25.3,2.7,2,3
2025-07-18,C,주간,499.5,11.1,320.6,25.0,7.2,2,0
2025-07-20,A,주간,497.2,10.75,276.6,23.0,4.7,1,0
2025-07-20,A,주간,501.2,10.64,261.6,19.6,6.3,3,3
2025-07-21,B,야간,497.5,11.08,315.2,24.7,4.7,2,3
2025-07-21,A,주간,503.3,11.03,283.9,26.1,4.1,1,4
2025-07-22,A,주간,500.9,10.65,289.8,22.5,1.8,2,2
2025-07-23,A,야간,506.4,11.77,276.3,26.9,6.9,1,2
2025-07-24,C,주간,499.0,10.85,324.3,24.3,2.7,4,3
2025-07-25,C,주간,496.5,11.54,324.3,25.8,2.2,0,6
2025-07-25,C,야간,498.5,11.17,315.0,24.4,5.3,0,5
2025-07-27,B,야간,506.1,11.11,277.2,24.2,5.6,2,3
2025-07-27,A,주간,503.2,11.48,287.0,26.1,5.0,3,3
2025-07-28,A,주간,501.6,10.91,264.8,23.3,6.0,0,0
2025-07-28,C,주간,496.3,11.14,316.8,25.4,2.3,1,8
2025-07-28,B,주간,499.6,11.36,293.4,24.3,9.7,0,2
2025-07-29,A,주간,496.3,10.89,315.2,23.4,4.2,4,5
2025-07-29,C,주간,499.2,10.45,313.4,21.6,5.7,2,3
2025-07-30,B,주간,499.9,11.14,293.1,22.8,3.8,0,2
2025-07-30,B,주간,501.1,10.3,304.9,20.4,3.3,3,3
2025-08-02,B,야간,500.5,10.9,307.0,24.0,5.8,6,3
2025-08-04,A,주간,503.4,10.4,276.0,20.2,15.1,5,2
2025-08-04,A,야간,496.9,10.45,283.0,22.0,2.4,1,5
2025-08-06,A,주간,497.0,10.96,281.1,23.8,15.7,2,2
2025-08-06,A,야간,498.4,11.5,282.9,26.3,5.1,3,5
2025-08-07,C,야간,493.1,11.3,338.3,27.9,4.7,0,9
2025-08-08,C,야간,500.2,11.36,308.4,26.0,9.2,0,3
2025-08-08,C,주간,503.0,10.28,302.2,23.2,5.2,0,5
2025-08-08,B,주간,501.7,10.85,296.5,21.5,18.0,6,0
2025-08-09,A,주간,501.2,11.17,277.8,25.8,8.9,0,1
2025-08-11,A,야간,501.8,10.29,294.4,22.2,2.5,0,4
2025-08-11,C,주간,499.5,,302.4,25.0,5.5,1,4
2025-08-11,C,주간,503.5,10.84,317.1,21.7,7.3,2,7
2025-08-11,C,주간,500.3,11.03,320.7,26.0,4.5,0,1
2025-08-14,C,주간,496.8,11.2,335.8,25.5,3.9,3,3
2025-08-15,A,주간,502.9,10.82,312.5,22.0,4.6,1,3
2025-08-18,A,야간,501.3,11.54,278.6,28.8,2.3,2,3
2025-08-19,B,주간,497.5,11.42,306.3,26.1,2.4,1,2
2025-08-20,C,주간,499.2,11.02,321.0,27.6,3.5,4,4
2025-08-22,A,야간,503.5,10.75,281.8,23.2,11.5,2,2
2025-08-25,C,주간,501.0,11.53,315.8,25.1,9.4,3,2
2025-08-25,B,주간,498.7,11.26,311.3,25.2,7.2,2,3
2025-08-25,A,주간,507.5,10.98,282.1,23.6,2.9,0,4
2025-08-25,A,주간,500.5,10.17,288.4,20.6,16.9,3,2
2025-08-26,A,주간,504.1,11.07,275.5,23.3,2.2,2,0
2025-08-27,A,야간,498.4,10.84,268.2,22.3,4.0,4,2
2025-08-28,B,야간,499.1,10.21,297.6,22.7,18.0,0,2
2025-08-28,A,야간,499.1,11.11,277.0,25.1,4.5,2,4
2025-08-29,A,야간,501.0,11.19,295.1,25.3,10.2,1,1
2025-08-30,B,주간,497.5,10.43,312.8,20.9,4.2,2,2
2025-08-30,B,주간,496.6,10.58,310.3,20.2,10.6,0,4
2025-08-30,A,주간,501.8,11.15,300.5,25.2,6.4,0,0
2025-08-31,C,주간,495.2,11.49,337.1,27.3,5.6,1,3
2025-09-01,B,주간,505.1,11.92,299.7,28.8,3.0,0,6
2025-09-01,C,야간,499.5,11.47,303.6,26.9,4.1,2,4
2025-09-01,B,야간,501.4,11.22,309.6,25.2,2.8,4,4
2025-09-02,A,주간,500.7,,287.0,23.3,8.9,1,1
2025-09-03,C,주간,499.9,,330.6,20.2,12.0,3,3
2025-09-03,B,주간,500.9,11.03,282.9,23.7,9.0,1,1
2025-09-04,B,주간,496.5,11.15,300.5,24.4,3.0,4,1
2025-09-06,B,주간,505.3,11.07,316.5,25.0,5.5,4,2
2025-09-06,B,주간,501.3,11.2,284.9,25.9,3.9,0,3
2025-09-06,B,주간,500.3,10.83,323.3,20.1,13.2,2,2
2025-09-06,A,야간,502.0,11.93,285.3,30.3,0.8,4,5
2025-09-06,A,야간,504.1,10.21,311.0,20.7,3.5,1,3
2025-09-07,B,주간,499.2,10.79,319.7,21.2,3.0,6,7
2025-09-07,C,주간,496.7,11.11,343.7,22.0,5.0,3,5
2025-09-07,B,야간,497.3,10.79,298.3,20.9,7.5,1,3
2025-09-07,C,주간,497.3,11.1,310.5,23.8,6.5,2,4
2025-09-09,A,야간,501.4,10.69,307.8,20.8,2.8,7,1
2025-09-09,B,주간,503.1,10.5,283.4,20.6,10.2,4,0
2025-09-10,A,야간,497.3,10.66,284.7,21.0,8.8,0,1
2025-09-10,A,주간,499.1,10.97,319.5,23.3,5.4,1,3
2025-09-10,B,야간,498.6,11.46,315.8,28.1,1.4,3,7
2025-09-10,C,주간,498.0,10.58,302.5,22.4,6.8,1,6
2025-09-11,C,야간,500.4,10.59,317.8,19.8,2.8,1,5
2025-09-12,C,주간,508.8,10.89,296.8,24.0,7.6,2,1
2025-09-12,B,야간,497.5,10.84,306.8,22.2,14.4,4,1
2025-09-13,B,주간,500.9,11.78,324.3,29.5,5.8,1,4
2025-09-13,A,야간,501.3,10.75,277.1,23.7,11.4,2,3
2025-09-14,B,주간,498.3,10.46,296.7,21.2,9.1,1,1
2025-09-15,B,야간,499.8,10.34,303.7,23.0,3.4,2,3
2025-09-15,B,주간,501.9,10.74,316.2,23.0,4.1,1,6
2025-09-17,B,야간,498.4,11.26,296.0,27.7,2.0,1,4
2025-09-20,C,야간,498.7,11.21,346.6,25.4,1.5,3,4
2025-09-20,C,야간,503.1,11.16,305.1,24.2,0.7,1,8
2025-09-21,B,야간,498.1,11.05,264.1,24.7,4.3,1,5
2025-09-21,A,주간,500.9,10.95,292.8,21.0,12.6,1,1
2025-09-21,A,주간,505.7,10.41,267.1,21.4,9.4,1,2
2025-09-24,C,야간,498.4,11.31,344.0,24.5,2.1,4,6
2025-09-24,A,주간,502.7,11.26,313.8,24.0,7.4,3,1
2025-09-24,A,주간,502.6,11.5,261.8,24.9,7.4,4,1
2025-09-25,A,야간,504.6,10.97,277.9,23.8,1.4,4,4
2025-09-25,B,주간,497.5,10.55,321.9,22.2,5.8,2,2
2025-09-25,B,주간,497.1,11.29,302.6,25.5,2.8,3,7
2025-09-26,C,야간,507.2,11.27,303.1,26.3,1.0,4,4
2025-09-26,A,야간,504.5,11.05,289.9,22.6,4.6,2,2
2025-09-27,A,주간,503.6,11.23,273.0,25.0,10.0,1,1
2025-09-27,B,야간,500.7,,305.4,23.6,1.0,2,5
2025-09-29,A,주간,502.5,11.71,308.9,25.5,11.0,1,4
2025-10-03,A,야간,499.0,11.22,276.9,22.2,1.3,1,2
2025-10-03,B,주간,500.1,10.74,300.1,21.8,5.8,1,1
2025-10-04,B,주간,495.7,10.94,303.9,25.9,8.1,2,3
2025-10-04,B,주간,503.3,11.08,316.1,25.1,6.4,4,3
2025-10-05,C,야간,497.0,10.69,333.7,20.9,7.4,3,6
2025-10-05,C,야간,503.1,11.23,320.6,23.2,12.5,1,4
2025-10-06,A,주간,499.7,10.82,305.2,22.1,9.1,5,4
2025-10-07,B,야간,315.5,10.74,313.1,21.6,4.7,0,2
2025-10-08,C,주간,494.5,,321.4,24.3,8.9,1,4
2025-10-08,B,주간,497.5,,291.8,20.8,3.5,3,4
2025-10-08,C,야간,498.3,11.39,323.4,26.7,0.5,1,4
2025-10-09,C,주간,496.3,10.81,331.2,24.5,6.5,4,3
2025-10-10,C,주간,496.5,11.42,311.9,24.5,10.7,3,4
2025-10-14,C,주간,495.9,10.87,339.1,21.0,11.2,1,3
2025-10-14,B,주간,501.5,11.63,297.2,27.9,5.8,1,1
2025-10-15,A,주간,500.5,10.92,293.1,22.8,4.5,2,2
2025-10-15,A,주간,504.0,10.88,283.5,21.1,3.2,2,5
2025-10-15,B,주간,504.2,,312.4,22.7,9.1,2,0
2025-10-16,B,야간,500.1,11.29,293.1,26.1,8.7,2,1
2025-10-16,B,주간,498.0,10.75,305.7,25.0,7.3,3,4
2025-10-18,C,야간,496.8,11.6,308.5,26.8,9.8,1,4
2025-10-18,A,야간,499.3,10.76,281.4,24.1,1.1,0,8
