상담일,채널,문의유형,고객구분,대기시간_초,대기고객수,상담시간_분,상담원경력_년,만족도,재문의여부
2025-03-12,채팅,장애,기존,26.2,1,14.62,0.4,2.87,1
2025-03-12,채팅,요금,신규,148.6,12,7.98,2.9,3.17,0
2025-03-12,이메일,장애,신규,306.3,26,10.45,2.0,2.1,1
2025-03-12,전화,가입,기존,98.9,9,7.85,7.2,3.07,1
2025-03-12,전화,요금,기존,18.7,1,7.84,1.3,4.36,0
2025-03-13,채팅,장애,신규,34.4,2,13.77,1.5,2.54,1
2025-03-13,전화,장애,기존,55.1,3,10.69,3.8,4.24,0
2025-03-14,전화,가입,기존,62.6,5,8.85,4.6,4.37,0
2025-03-15,채팅,요금,기존,29.1,4,6.4,6.3,4.1,1
2025-03-15,채팅,요금,신규,8.8,0,7.33,6.0,4.76,0
2025-03-16,이메일,장애,기존,56.9,3,11.73,7.8,4.11,1
2025-03-16,채팅,요금,신규,31.5,3,9.64,6.4,4.25,1
2025-03-16,전화,요금,신규,5.7,0,5.96,6.9,4.81,0
2025-03-17,전화,가입,기존,68.2,6,8.16,3.8,4.95,0
2025-03-17,채팅,기타,기존,66.7,7,12.59,2.6,3.51,0
2025-03-18,채팅,장애,기존,43.4,3,11.43,2.1,3.81,1
2025-03-18,채팅,요금,기존,32.2,3,8.93,2.1,2.91,1
2025-03-18,이메일,요금,신규,155.2,14,10.94,12.7,2.95,0
2025-03-18,전화,기타,신규,5.6,0,7.23,2.8,4.34,0
2025-03-19,전화,장애,기존,32.3,2,13.68,3.2,3.85,1
2025-03-20,전화,기타,기존,62.4,6,7.37,3.2,4.29,1
2025-03-20,채팅,가입,신규,93.6,8,8.01,6.1,3.93,1
2025-03-21,채팅,가입,기존,64.0,6,7.29,8.9,4.12,1
2025-03-22,채팅,가입,기존,24.4,1,7.85,5.1,4.24,1
2025-03-22,전화,장애,기존,57.7,6,12.7,4.8,4.62,0
2025-03-22,전화,장애,기존,6.6,1,11.27,7.2,4.75,0
2025-03-22,전화,요금,신규,38.9,3,10.19,2.6,3.5,1
2025-03-23,전화,기타,기존,24.3,1,6.67,1.6,4.12,0
2025-03-23,전화,가입,기존,130.5,11,9.0,0.3,3.72,0
2025-03-23,전화,요금,기존,26.0,2,8.85,3.8,4.58,0
2025-03-23,채팅,요금,신규,13.5,0,9.46,0.6,3.85,0
2025-03-23,전화,기타,기존,206.1,19,9.79,9.1,3.03,1
2025-03-24,전화,가입,기존,76.1,7,9.25,6.9,4.56,0
2025-03-25,전화,요금,신규,150.0,12,6.74,1.5,3.59,0
2025-03-25,이메일,기타,신규,354.6,28,6.47,3.8,1.71,1
2025-03-25,채팅,가입,기존,36.9,2,9.45,14.3,5.0,0
2025-03-25,전화,기타,기존,110.1,8,9.36,2.4,3.19,0
2025-03-25,전화,요금,기존,23.6,2,5.53,7.2,4.32,0
2025-03-25,채팅,요금,신규,22.7,2,10.22,0.9,3.35,1
2025-03-25,전화,기타,기존,8.1,1,6.1,3.1,4.62,1
2025-03-25,전화,장애,기존,64.2,5,11.95,5.7,3.59,1
2025-03-25,채팅,가입,기존,10.8,1,7.94,3.3,4.16,1
2025-03-25,채팅,요금,기존,54.3,3,6.18,8.4,4.05,0
2025-03-26,전화,기타,기존,45.9,5,6.74,0.8,4.09,0
2025-03-26,전화,장애,기존,28.3,1,14.38,4.7,3.99,0
2025-03-26,이메일,요금,신규,130.1,11,8.42,5.9,3.73,1
2025-03-27,전화,가입,기존,14.3,1,10.34,1.0,4.05,1
2025-03-27,채팅,요금,신규,5.7,1,8.84,4.3,3.35,0
2025-03-27,전화,기타,신규,135.0,11,12.15,6.7,3.91,0
2025-03-27,전화,요금,기존,11.6,2,9.4,7.2,5.0,0
2025-03-28,채팅,요금,신규,148.7,12,5.7,6.1,4.09,0
2025-03-29,채팅,요금,기존,21.9,1,8.8,4.6,4.11,1
2025-03-30,이메일,장애,신규,409.6,32,11.61,6.5,1.0,1
2025-03-30,전화,기타,기존,36.6,3,6.81,2.5,4.77,0
2025-03-31,이메일,요금,기존,14.9,1,10.06,6.2,3.13,0
2025-03-31,전화,가입,신규,27.5,3,8.52,3.1,4.82,1
2025-03-31,전화,장애,기존,8.2,0,12.09,0.3,4.57,0
2025-04-01,채팅,기타,기존,8.2,1,7.16,8.6,4.23,1
2025-04-01,채팅,기타,기존,9.1,1,5.86,4.1,4.6,0
2025-04-01,채팅,가입,신규,82.2,6,9.73,4.4,4.61,0
2025-04-01,이메일,장애,신규,142.6,13,12.7,6.4,2.99,1
2025-04-01,이메일,장애,기존,274.5,23,11.37,3.9,2.17,1
2025-04-01,채팅,장애,신규,28.8,2,12.45,2.5,3.58,1
2025-04-01,전화,가입,신규,77.4,7,13.91,1.1,3.58,1
2025-04-02,전화,장애,기존,10.3,2,11.48,3.9,4.63,0
2025-04-03,채팅,요금,신규,48.5,3,9.1,3.1,3.9,1
2025-04-03,이메일,요금,기존,20.3,3,6.28,3.2,3.32,1
2025-04-03,전화,요금,기존,91.0,6,12.54,4.6,3.9,0
2025-04-03,이메일,기타,기존,78.7,7,5.43,4.4,2.01,1
2025-04-03,채팅,가입,기존,194.4,16,10.85,2.6,2.66,0
2025-04-03,전화,요금,기존,6.7,1,5.4,8.0,4.8,0
2025-04-03,전화,가입,기존,11.8,0,8.43,6.2,4.82,0
2025-04-04,채팅,가입,신규,9.7,0,7.61,2.5,4.41,0
2025-04-04,전화,장애,신규,102.7,7,16.36,2.9,3.39,1
2025-04-05,채팅,장애,기존,54.0,6,11.52,2.1,3.02,0
2025-04-05,이메일,요금,기존,12.4,0,11.34,6.6,3.8,1
2025-04-05,전화,가입,기존,15.0,1,14.38,4.0,4.43,0
2025-04-05,전화,가입,기존,30.8,2,8.42,4.2,3.89,1
2025-04-05,전화,요금,기존,17.5,2,11.42,3.2,4.29,0
2025-04-05,채팅,요금,기존,12.9,1,10.05,5.5,3.89,1
2025-04-05,채팅,가입,신규,90.7,8,10.64,6.2,3.16,0
2025-04-06,전화,요금,신규,7.5,1,7.17,1.6,4.54,0
2025-04-06,전화,기타,신규,79.4,6,6.08,5.3,4.56,0
2025-04-06,전화,장애,기존,9.5,0,17.39,1.5,4.04,0
2025-04-06,채팅,가입,신규,48.6,3,8.09,2.7,3.52,0
2025-04-07,전화,장애,신규,23.0,3,10.25,3.3,4.14,1
2025-04-07,전화,요금,기존,42.3,4,9.7,6.1,5.0,0
2025-04-08,채팅,요금,신규,73.6,6,10.11,7.1,3.26,1
2025-04-08,전화,장애,기존,11.2,1,12.55,5.5,4.38,0
2025-04-08,채팅,기타,신규,10.1,0,12.78,2.9,4.34,0
2025-04-09,채팅,가입,기존,11.2,0,9.3,4.4,4.66,1
2025-04-09,이메일,요금,기존,5.3,1,7.31,2.4,3.46,0
2025-04-09,전화,장애,기존,64.7,5,11.26,4.0,3.86,1
2025-04-09,채팅,가입,기존,46.8,3,9.7,3.1,4.55,0
2025-04-09,채팅,요금,기존,56.1,5,8.84,2.3,4.02,0
2025-04-09,이메일,요금,신규,459.8,37,4.98,8.4,1.21,1
2025-04-10,전화,장애,기존,19.6,1,11.15,7.5,4.83,0
2025-04-10,이메일,요금,기존,204.6,17,6.82,7.4,2.03,1
2025-04-10,이메일,가입,기존,28.5,2,8.38,5.3,3.4,1
2025-04-11,전화,가입,기존,117.2,9,10.75,7.8,3.62,1
2025-04-11,전화,가입,신규,38.4,4,8.74,2.3,3.76,1
2025-04-11,전화,기타,신규,22.4,0,6.25,7.9,5.0,0
2025-04-11,이메일,기타,기존,42.0,5,7.55,11.6,3.18,0
2025-04-11,전화,기타,기존,94.7,8,4.73,7.6,4.82,1
2025-04-11,이메일,가입,신규,79.1,5,11.4,5.5,2.7,1
2025-04-11,채팅,가입,기존,43.0,4,7.93,4.6,3.75,1
2025-04-12,채팅,기타,기존,18.6,2,6.53,1.5,3.7,0
2025-04-12,전화,기타,신규,26.4,1,6.32,1.4,3.87,1
2025-04-12,전화,가입,기존,27.7,2,7.8,12.1,4.23,0
2025-04-12,전화,장애,신규,19.0,2,13.58,1.1,3.91,1
2025-04-13,이메일,요금,신규,207.5,18,6.77,2.2,1.94,1
2025-04-13,채팅,요금,기존,64.8,5,7.85,4.7,3.19,0
2025-04-13,전화,요금,기존,15.0,1,11.46,5.8,4.22,0
2025-04-13,채팅,요금,기존,16.2,1,10.92,5.8,4.31,0
2025-04-14,전화,장애,기존,30.5,3,12.87,7.1,5.0,0
2025-04-14,채팅,요금,기존,19.7,1,8.59,4.4,4.04,0
2025-04-15,채팅,가입,신규,86.2,8,8.13,9.3,3.35,1
2025-04-15,전화,요금,신규,64.6,6,8.56,3.2,4.17,0
2025-04-16,이메일,요금,신규,173.5,16,12.55,2.6,2.28,0
2025-04-17,전화,장애,기존,18.4,2,13.48,6.5,4.61,1
2025-04-17,전화,기타,기존,10.5,1,9.28,2.3,4.59,0
2025-04-17,전화,요금,기존,47.0,4,16.77,7.9,4.2,1
2025-04-18,전화,요금,신규,85.5,7,6.84,1.7,4.27,0
2025-04-18,전화,장애,기존,300.0,25,15.39,3.3,3.2,0
2025-04-18,전화,가입,신규,184.2,15,8.21,2.3,2.54,1
2025-04-18,전화,기타,신규,10.8,1,6.87,3.1,4.45,0
2025-04-18,이메일,기타,기존,8.3,0,9.42,7.7,4.93,1
2025-04-19,전화,가입,기존,10.8,1,9.81,5.4,4.38,0
2025-04-19,전화,요금,기존,129.0,11,8.45,1.5,2.94,0
2025-04-19,전화,기타,기존,103.6,9,5.39,4.0,3.8,1
2025-04-19,이메일,가입,기존,49.2,3,8.24,3.9,3.26,0
2025-04-19,채팅,기타,기존,20.3,3,5.64,7.5,4.41,0
2025-04-19,이메일,요금,기존,159.8,14,5.8,10.4,2.88,0
2025-04-19,이메일,기타,신규,212.3,18,7.86,2.6,2.66,0
2025-04-19,전화,가입,기존,22.2,2,11.72,6.1,5.0,1
2025-04-19,전화,장애,기존,33.5,2,14.55,2.8,4.54,0
2025-04-20,채팅,요금,기존,20.2,1,9.19,2.9,3.76,0
2025-04-20,채팅,가입,기존,27.8,3,11.94,5.5,4.49,0
2025-04-21,이메일,장애,기존,101.5,9,11.49,1.0,2.07,0
2025-04-22,전화,장애,기존,17.3,1,14.06,3.5,3.36,0
2025-04-22,전화,가입,기존,33.1,3,8.23,5.2,4.54,0
2025-04-23,전화,장애,기존,5.0,0,11.24,0.9,3.79,0
2025-04-23,채팅,장애,신규,74.4,4,15.93,4.9,3.81,0
2025-04-23,전화,요금,기존,79.7,6,6.68,5.9,4.15,0
2025-04-24,이메일,장애,기존,59.0,7,12.85,12.8,3.64,0
2025-04-24,이메일,장애,기존,6.3,0,12.23,7.2,3.99,0
2025-04-24,이메일,가입,기존,66.2,6,9.8,6.1,2.72,0
2025-04-24,전화,요금,신규,67.0,7,7.17,8.0,4.36,0
2025-04-25,전화,요금,기존,33.6,2,6.24,6.7,4.47,0
2025-04-25,채팅,요금,기존,87.1,8,9.59,6.9,4.07,0
2025-04-25,이메일,장애,기존,125.8,10,10.0,4.8,2.23,1
2025-04-25,전화,가입,신규,24.1,2,7.52,15.4,5.0,0
2025-04-26,채팅,가입,기존,8.5,2,8.32,2.7,3.97,0
2025-04-26,이메일,요금,신규,57.3,2,7.87,1.9,2.14,1
2025-04-27,전화,가입,기존,54.9,6,7.87,6.8,4.2,0
2025-04-27,채팅,기타,기존,25.7,3,5.8,3.2,4.15,0
2025-04-27,채팅,가입,신규,64.9,6,10.02,6.8,4.33,0
2025-04-28,채팅,가입,신규,89.2,8,8.45,4.1,3.94,0
2025-04-29,채팅,장애,기존,94.0,10,11.14,2.2,3.23,1
2025-04-29,전화,요금,신규,156.1,14,6.7,5.0,3.64,0
2025-04-29,전화,장애,기존,42.9,3,12.22,6.8,4.51,0
2025-04-29,이메일,기타,신규,51.4,5,9.94,0.9,3.07,0
2025-04-29,전화,기타,신규,23.5,3,9.16,7.0,4.33,0
2025-04-29,전화,요금,신규,90.8,7,7.9,5.3,3.14,0
2025-04-30,채팅,요금,기존,82.6,7,6.4,2.7,3.95,1
2025-04-30,전화,장애,기존,25.2,2,13.27,2.8,4.93,0
2025-04-30,이메일,요금,기존,139.4,10,6.06,3.6,3.31,1
2025-04-30,전화,요금,기존,18.2,2,7.74,4.4,4.42,0
2025-05-01,전화,장애,신규,26.1,4,10.71,12.8,4.48,0
2025-05-01,전화,요금,기존,117.8,9,8.13,4.6,3.94,1
2025-05-01,채팅,장애,기존,42.5,3,12.12,1.6,3.67,0
2025-05-02,채팅,요금,기존,28.7,3,6.41,7.7,4.04,0
2025-05-02,전화,기타,기존,34.3,3,6.18,2.2,4.71,0
2025-05-03,전화,장애,기존,9.1,2,11.02,1.1,3.31,1
2025-05-03,전화,장애,기존,64.8,7,14.04,5.2,3.91,0
2025-05-03,채팅,요금,신규,34.1,4,7.76,5.7,4.09,0
2025-05-03,전화,기타,기존,46.1,3,5.06,8.5,4.38,0
2025-05-03,채팅,가입,신규,170.4,14,9.44,0.9,3.1,0
2025-05-03,전화,가입,기존,38.6,3,7.42,4.9,4.53,0
2025-05-04,전화,요금,기존,6.6,0,8.46,1.0,4.52,0
2025-05-04,채팅,요금,기존,17.7,1,10.97,3.5,3.93,1
2025-05-04,전화,요금,기존,9.1,1,6.31,1.8,4.47,0
2025-05-04,전화,장애,신규,168.8,14,11.79,4.4,3.46,0
2025-05-05,채팅,가입,기존,72.5,6,7.55,4.3,3.94,1
2025-05-05,채팅,요금,기존,89.6,9,11.0,3.1,3.62,0
2025-05-05,채팅,가입,기존,75.0,6,9.36,8.4,3.78,0
2025-05-05,채팅,장애,기존,83.4,7,9.45,16.0,4.43,0
2025-05-05,전화,요금,신규,30.7,2,6.41,1.1,4.21,0
2025-05-05,이메일,가입,신규,271.7,24,7.7,6.5,1.78,1
2025-05-06,채팅,장애,기존,12.6,1,11.76,2.3,4.2,1
2025-05-06,전화,장애,신규,165.0,14,14.14,4.3,3.31,1
2025-05-06,전화,장애,기존,12.0,1,9.0,11.3,4.61,0
2025-05-07,전화,장애,기존,13.0,2,15.11,8.1,4.58,1
2025-05-07,채팅,장애,신규,14.9,0,13.27,1.7,3.75,0
2025-05-07,채팅,가입,기존,77.4,7,9.7,4.2,3.67,0
2025-05-08,채팅,가입,기존,44.8,5,10.79,2.9,3.02,1
2025-05-08,채팅,가입,기존,26.5,2,9.91,6.0,4.85,0
2025-05-08,전화,가입,기존,6.7,0,10.5,0.5,4.1,1
2025-05-08,전화,장애,기존,52.2,5,12.93,2.3,3.81,1
2025-05-09,채팅,요금,신규,68.4,7,6.86,2.2,3.85,0
2025-05-09,전화,요금,기존,84.9,6,8.85,2.3,3.89,1
2025-05-09,이메일,장애,신규,116.9,9,10.22,10.2,3.03,0
2025-05-10,채팅,장애,기존,8.3,1,14.01,1.9,4.18,0
2025-05-10,이메일,요금,신규,52.2,3,6.14,1.7,3.44,1
2025-05-12,채팅,장애,신규,63.6,6,11.23,1.9,4.09,0
2025-05-12,전화,요금,기존,105.2,9,7.78,4.9,4.31,0
2025-05-12,채팅,요금,기존,126.4,10,16.68,4.8,4.0,1
2025-05-13,전화,요금,신규,51.6,4,6.7,9.8,4.48,1
2025-05-13,이메일,기타,신규,158.6,13,14.98,3.1,2.1,1
2025-05-14,전화,가입,기존,33.6,2,6.48,12.5,5.0,0
2025-05-14,채팅,요금,기존,58.9,4,6.63,5.1,3.39,1
2025-05-14,채팅,가입,신규,26.0,2,11.98,4.6,4.32,1
2025-05-15,이메일,요금,기존,250.6,21,8.6,0.9,2.28,1
2025-05-15,전화,기타,신규,77.2,6,5.92,11.1,4.45,0
2025-05-15,전화,요금,신규,12.8,0,8.86,6.3,4.77,0
2025-05-15,채팅,요금,기존,37.0,3,8.7,6.6,3.67,0
2025-05-15,전화,장애,기존,31.1,2,11.03,0.9,3.93,1
2025-05-16,이메일,장애,신규,74.2,6,10.43,4.4,3.2,1
2025-05-17,채팅,요금,기존,13.5,3,5.74,6.7,4.33,0
2025-05-17,전화,요금,기존,21.1,3,7.56,2.5,4.35,1
2025-05-17,이메일,요금,기존,186.6,16,7.9,6.7,2.99,0
2025-05-18,채팅,요금,기존,51.0,3,6.91,8.7,3.48,1
2025-05-18,전화,요금,신규,159.5,13,9.79,4.7,3.77,0
2025-05-19,전화,가입,신규,7.2,0,11.06,3.3,4.37,0
2025-05-19,전화,요금,기존,65.0,7,7.82,3.5,3.83,0
2025-05-20,채팅,가입,기존,24.5,3,9.08,7.4,4.37,0
2025-05-20,이메일,기타,기존,39.7,3,8.93,3.2,4.06,0
2025-05-21,전화,가입,신규,241.4,21,9.54,7.2,3.33,1
2025-05-21,이메일,기타,기존,31.8,3,6.38,4.5,3.57,0
2025-05-21,전화,장애,기존,16.0,2,11.96,6.2,3.94,1
2025-05-21,채팅,기타,기존,21.3,4,5.77,5.0,4.32,1
2025-05-21,전화,요금,신규,174.9,15,11.73,3.6,3.64,1
2025-05-22,전화,장애,기존,135.4,11,12.58,3.2,3.59,1
2025-05-22,이메일,요금,신규,62.0,5,6.14,2.8,3.2,0
2025-05-22,이메일,요금,신규,173.6,15,9.24,1.1,2.14,1
2025-05-22,전화,가입,기존,60.1,5,11.18,7.5,4.22,0
2025-05-22,채팅,요금,기존,16.4,1,6.1,1.6,4.16,0
2025-05-22,전화,장애,신규,109.1,9,11.47,5.2,3.44,1
2025-05-22,전화,가입,신규,11.6,3,18.07,1.4,3.1,1
2025-05-23,채팅,가입,신규,9.9,1,12.16,9.3,3.8,0
2025-05-24,채팅,장애,신규,18.0,2,16.22,1.9,3.87,0
2025-05-24,이메일,가입,기존,140.1,11,9.33,9.0,2.77,0
2025-05-24,전화,장애,기존,7.0,0,16.68,3.6,4.39,0
2025-05-24,이메일,요금,기존,57.5,3,12.06,3.7,2.4,1
2025-05-25,채팅,가입,기존,13.0,2,7.76,4.6,3.72,0
2025-05-26,채팅,요금,기존,35.6,2,11.06,2.3,3.75,0
2025-05-27,채팅,장애,신규,106.0,9,10.47,8.3,3.93,1
2025-05-27,채팅,요금,기존,11.3,2,10.21,1.9,3.93,1
2025-05-27,전화,장애,기존,46.2,4,11.09,7.3,4.58,1
2025-05-27,전화,장애,신규,52.1,5,10.86,5.5,4.29,0
2025-05-27,채팅,기타,기존,8.1,2,6.36,1.0,3.62,1
2025-05-28,채팅,기타,기존,46.2,4,5.31,1.7,3.74,1
2025-05-28,전화,가입,기존,33.4,2,9.24,2.9,4.08,0
2025-05-28,채팅,장애,기존,31.6,2,11.91,10.3,4.86,0
2025-05-29,전화,요금,신규,66.8,5,12.02,2.2,4.06,0
2025-05-29,채팅,기타,신규,101.1,8,5.63,0.5,3.27,0
2025-05-30,전화,가입,기존,53.3,6,12.6,5.1,4.15,0
2025-05-30,전화,가입,기존,53.8,6,12.45,7.6,4.21,1
2025-05-30,채팅,기타,신규,116.9,8,6.96,6.6,4.09,1
2025-05-30,이메일,장애,기존,104.3,10,14.8,1.5,2.38,1
2025-05-30,전화,가입,기존,53.5,5,9.34,3.0,3.85,1
2025-05-30,채팅,가입,신규,16.4,3,7.84,10.6,5.0,0
2025-05-30,이메일,요금,기존,16.7,2,7.86,9.1,4.56,1
2025-05-31,채팅,장애,기존,26.1,2,11.5,3.9,3.79,1
2025-05-31,이메일,요금,신규,103.0,8,8.49,2.5,3.03,1
2025-05-31,전화,기타,기존,39.6,4,7.72,3.1,4.35,0
2025-05-31,전화,요금,기존,160.3,13,13.33,3.0,3.25,0
2025-05-31,전화,가입,신규,70.4,6,18.42,6.7,3.46,0
2025-05-31,전화,가입,기존,96.1,7,11.99,2.4,3.87,0
2025-06-01,채팅,가입,기존,18.0,2,8.62,1.7,3.66,1
2025-06-01,이메일,가입,신규,257.0,21,9.35,9.0,3.32,0
2025-06-01,전화,요금,기존,111.4,9,8.78,4.4,3.84,0
2025-06-02,채팅,장애,신규,27.8,2,10.7,5.5,4.46,1
2025-06-02,전화,요금,기존,17.2,0,10.31,3.6,5.0,0
2025-06-02,채팅,요금,기존,17.5,2,5.88,12.2,4.96,0
2025-06-02,전화,요금,기존,51.3,5,7.2,4.3,4.27,0
2025-06-02,채팅,요금,기존,18.2,3,7.67,1.1,4.07,0
2025-06-02,채팅,요금,기존,18.7,2,8.61,3.0,3.18,1
2025-06-02,채팅,기타,기존,19.5,4,6.87,2.9,3.85,0
2025-06-04,전화,가입,신규,50.8,4,8.67,1.8,4.51,0
2025-06-04,이메일,기타,신규,14.5,0,16.33,7.1,3.48,0
2025-06-04,전화,요금,기존,20.9,2,7.38,2.0,4.13,0
2025-06-05,채팅,장애,신규,104.5,9,11.86,1.4,3.37,1
2025-06-05,채팅,요금,신규,10.0,0,7.21,4.8,4.32,1
2025-06-05,전화,요금,신규,17.4,3,9.15,1.1,4.64,1
2025-06-06,이메일,기타,기존,29.7,3,5.38,5.0,3.49,0
2025-06-06,전화,요금,기존,45.1,2,9.48,0.6,3.79,0
2025-06-06,채팅,장애,기존,52.4,4,14.46,1.6,3.92,0
2025-06-06,채팅,요금,기존,33.4,3,6.49,8.8,4.46,0
2025-06-06,이메일,요금,기존,192.5,15,7.28,2.2,1.96,0
2025-06-06,이메일,요금,기존,49.8,5,13.4,4.4,3.39,1
2025-06-06,전화,장애,신규,5.8,1,12.58,7.2,4.74,0
2025-06-06,이메일,장애,기존,115.2,9,11.02,2.3,2.92,1
2025-06-07,전화,기타,기존,6.6,0,5.2,4.6,4.71,1
2025-06-08,채팅,가입,신규,15.5,1,8.49,4.3,4.83,0
2025-06-08,채팅,가입,기존,35.4,3,8.27,3.2,2.88,1
2025-06-08,전화,기타,신규,220.0,18,4.71,7.7,3.59,0
2025-06-08,전화,가입,신규,26.1,2,10.35,6.2,4.89,0
2025-06-08,채팅,요금,신규,90.4,8,9.68,4.3,3.27,0
2025-06-09,전화,가입,신규,155.3,14,9.41,2.8,4.09,0
2025-06-09,전화,장애,기존,97.2,8,15.27,0.9,3.94,0
2025-06-09,이메일,기타,기존,9.6,0,7.21,3.5,3.94,0
2025-06-10,이메일,장애,기존,86.9,6,15.16,4.4,2.73,1
2025-06-10,채팅,가입,기존,16.6,0,10.72,1.9,3.1,1
2025-06-10,채팅,장애,신규,27.7,3,18.53,1.8,3.68,1
2025-06-10,이메일,장애,신규,54.7,3,11.36,3.5,3.2,1
2025-06-10,채팅,장애,기존,47.5,6,11.83,13.0,4.35,0
2025-06-11,이메일,요금,기존,206.5,17,8.28,7.1,2.33,0
2025-06-11,채팅,기타,기존,5.1,1,7.62,3.0,4.17,0
2025-06-11,전화,요금,기존,63.3,7,7.79,2.8,3.87,0
2025-06-12,채팅,요금,기존,50.7,4,6.92,0.6,4.24,0
2025-06-12,이메일,요금,기존,182.6,16,8.69,3.7,2.55,1
2025-06-12,전화,기타,기존,44.8,4,12.15,7.3,4.02,1
2025-06-12,전화,장애,기존,92.2,8,10.84,3.2,3.95,0
2025-06-12,전화,요금,기존,7.8,1,8.12,5.4,5.0,1
2025-06-12,채팅,기타,기존,35.6,4,9.88,8.3,4.32,0
2025-06-13,이메일,요금,신규,83.9,7,7.32,3.9,3.72,1
2025-06-13,전화,기타,기존,35.4,3,8.78,4.2,4.2,0
2025-06-14,채팅,가입,기존,50.5,3,16.18,6.0,3.91,0
2025-06-14,전화,가입,기존,31.8,1,16.35,8.8,4.25,0
2025-06-15,전화,기타,기존,71.0,5,6.13,3.8,4.5,0
2025-06-15,전화,가입,기존,150.0,11,8.94,3.1,4.35,0
2025-06-15,전화,기타,신규,10.6,1,5.36,4.2,4.47,0
2025-06-16,이메일,가입,기존,169.0,14,10.15,2.3,2.2,1
2025-06-16,전화,가입,신규,258.6,21,13.49,1.9,2.94,1
2025-06-17,이메일,요금,신규,544.2,43,7.53,6.4,1.0,1
2025-06-17,채팅,기타,기존,12.9,2,5.36,4.9,4.01,0
2025-06-17,이메일,기타,기존,202.7,16,7.33,3.7,2.73,0
2025-06-17,이메일,요금,신규,44.6,4,14.66,1.8,2.93,0
2025-06-17,이메일,요금,기존,476.4,39,7.76,2.7,1.07,1
2025-06-17,이메일,기타,기존,93.9,8,13.42,3.0,2.89,1
2025-06-18,전화,가입,기존,82.6,7,9.37,5.1,4.27,0
2025-06-18,전화,기타,기존,39.9,4,7.87,6.7,4.0,0
2025-06-18,전화,장애,기존,118.3,12,12.53,6.3,2.99,0
2025-06-19,이메일,가입,기존,39.7,4,6.45,11.5,3.85,0
2025-06-19,채팅,기타,신규,103.2,9,6.46,5.1,3.88,0
2025-06-19,이메일,기타,기존,30.9,4,11.21,3.8,2.21,1
2025-06-19,채팅,기타,신규,97.3,8,5.99,3.6,3.5,1
2025-06-20,채팅,장애,기존,8.7,1,14.42,2.1,4.45,1
2025-06-20,전화,요금,신규,37.8,3,8.54,6.3,4.43,0
2025-06-21,전화,장애,기존,35.5,4,11.26,3.0,2.99,1
2025-06-21,채팅,장애,신규,7.6,1,12.26,4.4,4.34,0
2025-06-22,채팅,요금,기존,42.2,4,8.55,2.4,3.78,0
2025-06-22,전화,요금,기존,12.7,3,10.12,4.3,5.0,0
2025-06-23,전화,요금,기존,95.0,10,6.13,3.8,4.88,0
2025-06-23,채팅,장애,신규,35.7,3,13.71,9.7,3.93,0
2025-06-23,채팅,가입,기존,55.6,4,9.06,2.4,3.73,0
2025-06-24,채팅,요금,기존,71.7,7,7.36,3.4,3.67,1
2025-06-24,전화,장애,기존,138.9,11,11.73,7.5,3.33,1
2025-06-25,전화,요금,기존,59.0,4,8.42,3.7,3.93,0
2025-06-25,전화,요금,기존,16.7,1,6.76,2.0,4.27,1
